,tolB
Cr_1,-0.0036020660636317367
Cr_2,-0.003570845198414443
Cr_3,-0.002375063356801033
Cr_4,-0.0031339685771599787
Cr_5,-0.005366149041347628
Cr_6,-0.0076939740577356645
Fe_1,-0.008067425528464036
Fe_2,-0.02244881745423021
Fe_3,-0.043609045352133335
Fe_4,-0.06975782593446067
Fe_5,-0.08852033032371585
Fe_6,-0.1024200692360932
Cd_1,-0.00399584326912413
Cd_2,-0.007820185715826166
Cd_3,-0.008726391280661447
Cd_4,-0.010433438743452868
Cd_5,-0.015213657535025772
Cd_6,-0.014334752025564638
Zn_1,-0.0007446178337315883
Zn_2,-0.0017621716603282707
Zn_3,0.001971862531765288
Zn_4,0.008397000703930462
Zn_5,0.016474983588916272
Zn_6,0.02007852628000217
Cu_1,-0.0005103485924646405
Cu_2,0.0013984588805699568
Cu_3,0.007039145127392013
Cu_4,0.014835305363761072
Cu_5,0.02050950440981505
Cu_6,0.02193648925860249
Pb_1,0.005944655737932843
Pb_2,0.014123913951336688
Pb_3,0.02450318110062616
Pb_4,0.0342498085142344
Pb_5,0.041193523863455116
Pb_6,0.05238266731793136
