,hyaA
Cr_1,0.002772936961167223
Cr_2,0.008891654374849199
Cr_3,0.01465437350794716
Cr_4,0.016062937852754356
Cr_5,0.022496697946212302
Cr_6,0.022493072084702824
Fe_1,-0.017798424880873485
Fe_2,-0.028683966619203624
Fe_3,-0.036843985551651214
Fe_4,-0.04714193365002192
Fe_5,-0.055970849780983864
Fe_6,-0.05921079273982665
Cd_1,0.010857074512809628
Cd_2,0.017699193669363747
Cd_3,0.023312956585895297
Cd_4,0.02905872260837789
Cd_5,0.02891062100658465
Cd_6,0.03531185380066644
Zn_1,-0.0007796653602858487
Zn_2,0.010815029085953816
Zn_3,0.04236671094250116
Zn_4,0.06414709791968043
Zn_5,0.099654292180717
Zn_6,0.1320906992369296
Cu_1,0.002878648424127428
Cu_2,0.0037035825473405843
Cu_3,0.004983297921344317
Cu_4,0.002622966482596214
Cu_5,0.005611905969452595
Cu_6,0.008680560617419333
Pb_1,-0.00010054743561802124
Pb_2,0.0006164386842576207
Pb_3,0.000333242848798453
Pb_4,0.0010999276585047966
Pb_5,-0.010465211535381404
Pb_6,-0.011203804631795844
