,secM
Cr_1,-0.0004914685553787846
Cr_2,0.0003854965404265536
Cr_3,0.003316277309497066
Cr_4,0.0056139154286508185
Cr_5,0.0070780200156653214
Cr_6,0.008933459256714186
Fe_1,-0.010908853126793022
Fe_2,-0.01460494272837794
Fe_3,-0.007665378786723892
Fe_4,0.0011537740503270429
Fe_5,0.019779653551953637
Fe_6,0.03976587125207397
Cd_1,0.003068683349859328
Cd_2,0.006565385800408664
Cd_3,0.011612486812705306
Cd_4,0.017256707644303555
Cd_5,0.019777750051505987
Cd_6,0.028413563499813076
Zn_1,-0.0057340037898019214
Zn_2,-0.005638740564912692
Zn_3,0.0015389558971551235
Zn_4,0.010517870999326695
Zn_5,0.019332076819302612
Zn_6,0.030214895887371637
Cu_1,1.1198896937923422e-05
Cu_2,-0.0001375816452909419
Cu_3,0.0016173810290915146
Cu_4,0.004081354539850922
Cu_5,0.0075793176836525065
Cu_6,0.011006937918586555
Pb_1,0.0048159615478750644
Pb_2,0.007565364892484563
Pb_3,0.01334551260198048
Pb_4,0.02461835590128206
Pb_5,0.0341399187386832
Pb_6,0.04482445441559557
