,A,ArcA
R2,,0.008114529723909025
xmin,,-9.267007604
xmid,,
xmax,,3.5163621913034038
ystart,,1.1210656289019463
yend,,-7.0329636763141945
control__wt_glc__1,-0.1338328448892655,0.03663697100000008
control__wt_glc__2,0.133832844889301,-0.03663697100000008
fur__wt_dpd__1,-3.694199717775299,1.0583041259999997
fur__wt_dpd__2,-3.902143574409655,1.1267206660000006
fur__wt_fe__1,-0.4348256305264529,-0.052645840000000284
fur__wt_fe__2,-0.6075690519016713,-0.1298470389999995
fur__delfur_dpd__1,-3.805504258611537,1.1226786959999997
fur__delfur_dpd__2,-4.0617164696568,1.0438290660000007
fur__delfur_fe2__1,-2.724333100953536,0.03887232199999957
fur__delfur_fe2__2,-2.5690717097798643,0.005759821999999914
acid__wt_ph5__1,-2.092430821158557,0.907706566
acid__wt_ph5__2,-2.04206039788105,0.8854765760000003
acid__delgadx_ph5__2,-2.2600722643431546,0.6386470709999994
acid__delgadw_ph5__1,-1.7861278098770903,0.7741884859999999
acid__delgadw_ph5__2,-2.306140497753286,0.8036499260000003
acid__delgade_ph5__1,-1.3142400399184482,0.4993382329999996
acid__delgade_ph5__2,-1.5191799665552592,0.4822611769999998
oxidative__wt_pq__1,0.6799452517612912,2.1614953959999994
oxidative__wt_pq__2,0.4807038822999371,2.173902676000001
oxidative__deloxyr_pq__1,0.9834871020979632,2.1325921060000006
oxidative__deloxyr_pq__2,0.6578142566231634,2.155119376
oxidative__delsoxr_pq__1,0.273582440242197,2.1141333860000007
oxidative__delsoxr_pq__2,0.3331321656720828,2.045519786
oxidative__delsoxs_pq__1,0.3109696360825252,2.3445910960000003
oxidative__delsoxs_pq__2,0.2627626310351183,2.4052781759999995
nac_ntrc__wt_csn__1,-3.0240952641603145,0.6141077429999999
nac_ntrc__wt_csn__2,-2.9148367814680824,0.5605477890000009
nac_ntrc__wt_cytd__1,-1.32362146913945,0.2795019770000007
nac_ntrc__wt_cytd__2,-1.3538723087433149,0.2860997730000001
nac_ntrc__wt_gln__1,-3.5226649289659564,0.8913351259999995
nac_ntrc__wt_gln__2,-3.436504956873851,0.8662795560000003
nac_ntrc__bw_delnac_csn__1,-5.940152683619378,0.9463078960000004
nac_ntrc__bw_delnac_csn__2,-5.179426696287868,1.0584942260000003
nac_ntrc__bw_delnac_cytd__1,-3.423875480548651,0.9694913659999996
nac_ntrc__bw_delnac_cytd__2,-3.538254258747028,0.986668816
nac_ntrc__bw_delnac_gln__1,-3.520542018448732,1.7790340160000009
nac_ntrc__bw_delnac_gln__2,-3.4328666519337965,1.744133606
nac_ntrc__bw_delnac_nh4__1,-3.79547126633628,0.5325646529999997
nac_ntrc__bw_delnac_nh4__2,-3.301309819064956,0.6136985270000004
misc__wt_no_te__1,-3.683070052775702,0.9855235859999992
misc__wt_no_te__2,-3.3552949745823595,0.6142791370000005
misc__bw_delcbl__1,-2.015066140746283,0.12568635999999955
misc__bw_delcbl__2,-2.3135998671658267,0.035046911000000236
misc__bw_delfabr__1,-1.249803445624428,-0.24226446099999954
misc__bw_delfabr__2,-1.5635669081949637,-0.2915463460000005
misc__bw_delfadr__1,-2.2932320627155702,0.6395106409999993
misc__bw_delfadr__2,-2.19060735351858,0.657546914000001
misc__nitr_031__1,-3.605473232361086,1.4075302159999996
omics__wt_glu__1,-0.4753044022846689,-0.2732542719999991
omics__wt_glu__2,-0.6124406335938407,-0.2679235089999992
omics__wt_gly__1,-1.675902125921757,-0.3058648300000009
omics__wt_gly__2,-1.75236548986855,-0.2448624689999992
omics__wt_thr__1,-15.44353130042165,-0.12100795399999953
omics__wt_thr__2,-16.206827228711166,-0.0439906600000004
omics__bw_ac__1,6.3896315957360255,-0.048029848000000534
omics__bw_ac__2,5.840453563236864,-0.07614823900000013
omics__bw_fum__1,1.7914099315010652,-0.04679431099999931
omics__bw_fum__2,1.7295846287923522,-0.08552493700000062
omics__bw_glc__1,-1.791416068675544,0.12043444000000035
omics__bw_glc__2,-1.6460439595466654,0.13154009700000024
omics__bw_pyr__1,3.79578876154638,-0.3509629260000011
omics__bw_pyr__2,3.436720116266589,-0.34418755100000104
ompr__wt_nacl__1,-6.901095666302539,1.8283400460000008
ompr__wt_nacl__2,-6.72183162544547,1.9577424259999996
ompr__bw_delompr_nacl__1,-9.02053253167855,1.368295326
ompr__bw_delompr_nacl__2,-8.743606891817398,1.4191795159999998
minspan__wt_ade__1,-1.035855991186284,0.3935769530000002
minspan__wt_glc__2,-3.797436526882473,0.4446369820000005
minspan__wt_glc__3,-2.7312797460647484,0.3714927689999996
minspan__wt_glc__4,-2.9507635091776176,0.33109058800000035
minspan__wt_glc_anaero__1,-26.561503165674196,0.7573820960000006
minspan__wt_glc_anaero__2,-26.24679546702492,0.6963977779999997
minspan__wt_trp__1,-21.26449432083542,0.3756593200000005
minspan__bw_delcra_glc__2,-22.55983405967775,0.4768458209999995
minspan__bw_delcra_trp__1,-23.41068417117013,0.5289642949999998
minspan__bw_delmntr__1,-17.240985946641203,0.4877480060000003
minspan__bw_delnac_ade__1,1.886289122912694,0.10554391400000007
minspan__bw_delnac_glc__1,-1.10368520503854,0.3258568440000005
cra_crp__wt_ac__1,5.450064627755764,0.07521394599999986
cra_crp__wt_ac__2,5.697665083489624,0.04004208699999978
cra_crp__wt_fru__1,1.894720836223222,-0.2750378789999992
cra_crp__wt_fru__2,1.75561217146427,-0.23072129300000024
cra_crp__delcra_ac__1,4.292513802000053,0.2524338789999998
cra_crp__delcra_ac__2,3.943646053294016,0.2739452050000004
cra_crp__delcra_fru__1,-3.5732364499746065,0.519048295000001
cra_crp__delcra_fru__2,-3.844838846598585,0.5125246539999999
cra_crp__delcra_glc__1,-2.3744794629903767,0.12657313600000109
cra_crp__delcra_glc__2,-2.5054058479526136,0.12613725399999964
rpoB__wt_031__1,2.8131489205538736,0.3966465879999994
rpoB__wt_044__1,-0.5594190793245987,0.4535192749999997
rpoB__wt_lb__1,3.972185865606769,1.5404025160000003
rpoB__wt_lb__2,4.149839328747088,1.4498660660000002
rpoB__rpoBE546V_031__1,0.703199150544015,0.6855142030000003
rpoB__rpoBE546V_044__1,-0.0985804543188185,0.5397848889999999
rpoB__rpoBE546V_lb__1,0.606943684858103,1.1811762560000003
rpoB__rpoBE546V_lb__2,0.4662847414207848,1.0979101460000005
rpoB__rpoBE546V_glc__1,-1.8027474817360636,-0.04242210600000007
rpoB__rpoBE672K_glc__1,-1.067384288158903,-0.5294595540000007
rpoB__rpoBE672K_glc__2,-0.9567880625711304,-0.4737282469999986
rpoB__rpoBE672K_lb__1,-0.8979571930247205,0.035597011000000116
rpoB__rpoBE672K_lb__2,-0.2106112347198366,0.07509867000000092
crp__wt_fru__1,1.4785955815685516,-0.19600093400000065
crp__wt_glyc__1,2.834302400875972,-0.08909652200000018
crp__wt_glyc__2,1.8151544771212635,-0.1903415319999997
crp__delar1_glyc__1,-18.65999299383513,0.5840968219999993
crp__delar1_glyc__2,-23.83017500586924,0.7408784060000002
crp__delar1ar2_glyc__1,-2.322065679242916,0.6363256530000001
crp__delar1ar2_glyc__2,-2.1690240507407363,0.7106710189999994
crp__delar1ar2_glyc__3,-2.662425862430364,0.7162020570000003
crp__delar2_glyc__1,-27.584050916860733,0.184588754
crp__delar2_glyc__2,-28.20865625401923,0.17830120100000002
crp__delar2_glyc__3,-29.409772841024463,0.2581962700000009
crp__delcrp_fru__1,-4.515276653054364,1.3911438060000003
crp__delcrp_fru__2,-5.0437336633113015,1.3654766960000018
crp__delcrp_fru__3,-4.822729533118827,1.3627208460000002
crp__delcrp_glc__1,-3.807339971575869,1.3585496159999997
crp__delcrp_glc__2,-3.788974667447328,1.3477543060000006
crp__delcrp_glc__3,-3.540788039834673,1.385312095999998
