locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Thi-box,link
BSU_11690,0.21353237200000003,thiG,thiamin thiazole synthase,Coenzyme transport and metabolism,tenA->thiD,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11690
BSU_11670,0.212309872,thiO,glycine oxidase,Amino acid transport and metabolism,tenA->thiD,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11670
BSU_11680,0.211655108,thiS,sulfur carrier protein,No COG category,tenA->thiD,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11680
BSU_11650,0.211347939,tenA,thiaminase II,Transcription,tenA->thiD,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11650
BSU_11660,0.20804273,tenI,thiazole tautomerase,Coenzyme transport and metabolism,tenA->thiD,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11660
BSU_11700,0.20720932700000003,thiF,unknown,Coenzyme transport and metabolism,tenA->thiD,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11700
BSU_11710,0.18810657,thiD,4-amino-5-hydroxymethyl-2-methylpyrimidinepyrophosphate kinase,Coenzyme transport and metabolism,tenA->thiD,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11710
BSU_13240,0.183557868,thiU,thiamine [SW|ECF transporter] (binding protein),Function unknown,thiU->thiX,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13240
BSU_08790,0.179874992,thiC,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate (HMP-P) synthase,Coenzyme transport and metabolism,thiC,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08790
BSU_13220,0.177681043,thiW,thiamine [SW|ECF transporter] (ATP-binding protein),Inorganic ion transport and metabolism,thiU->thiX,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13220
BSU_13230,0.173659011,thiV,"thiamine [SW|ECF transporter] (membrane protein, thiamine-specific S protein)",Function unknown,thiU->thiX,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13230
BSU_13210,0.161585641,thiX,thiamine [SW|ECF transporter] (membrane-spanning T protein),Inorganic ion transport and metabolism,thiU->thiX,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13210
BSU__misc_RNA_14,0.127008907,BSU_misc_RNA_14,,No COG category,,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_14
BSU_30990,0.103504857,thiT,S protein of thiamine [SW|ECF transporter],Function unknown,thiT,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU30990
BSU__misc_RNA_11,0.09998918300000001,Thi-box,Thi-box RNA,No COG category,,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_11
