,A,Thi-box
R2,,0.6112187918582961
xmin,,-7.217666666666668
xmid,,
xmax,,0.9668333333333319
ystart,,-33.58193807154517
yend,,1.3764659700441397
LBexp_1,-23.9697579565,-4.758466666666667
LBexp_2,-24.1138647143,-4.404466666666668
LBexp_3,-23.9789084737,-4.997366666666668
LBtran_1,-25.7380373272,-4.100166666666668
LBtran_2,-25.3647903194,-4.637566666666668
LBtran_3,-24.0985248411,-4.8047666666666675
LBstat_1,-27.6662007389,-3.820966666666667
LBstat_2,-26.5931513835,-4.435566666666668
LBstat_3,-25.3380056583,-4.829866666666668
LBGexp_1,-22.0348048378,-6.091566666666667
LBGexp_2,-21.5682251086,-4.069666666666668
LBGexp_3,-21.4199646008,-4.913166666666667
LBGtran_2,-23.2093014789,-4.811066666666667
LBGtran_3,-23.5450216177,-4.271866666666668
LBGstat_1,-15.8706761036,-5.043666666666667
LBGstat_2,-17.2582544223,-5.390366666666667
LBGstat_3,-20.3603212638,-5.593166666666667
S0_1,2.5896300153,-1.4977666666666671
S0_2,3.1323403907,-0.9931666666666672
S0_3,2.4659108703,-1.203166666666668
S1_1,-6.8581463473,-1.1034666666666677
S1_2,-6.7715883463,-1.258066666666668
S1_3,-6.0037491053,-0.8750666666666671
S2_1,-7.1707880649,-0.8245666666666676
S2_2,-3.8826040655,-0.3932666666666673
S2_3,-5.7661535602,-1.0246666666666666
S3_1,-8.8162773322,-0.5529666666666682
S3_2,-5.010590876,-0.1573666666666682
S4_1,-6.6316964885,-0.21386666666666798
S4_2,-7.4729120972,-0.24846666666666728
S4_3,-7.1069583566,-0.10216666666666718
S5_1,-7.7170374735,-0.7364666666666668
S5_2,-7.6777784837,-0.5794666666666668
S5_3,-7.7933635883,0.15843333333333298
S6_1,-9.5098252392,-0.971166666666667
S6_2,-23.5203503008,-4.069566666666667
S6_3,-8.9674009996,-0.8310666666666684
S6/t_1,-10.0699654092,-0.563366666666667
S6/t_2,-24.0215363357,-3.7895666666666674
S6_4,-9.8372844283,-0.9963666666666668
S6_5,-8.4111085078,-0.3709666666666678
S6_6,-7.7371306855,-0.5673666666666684
S7_4,-11.3436104453,-0.6047666666666682
S7_5,-13.0872782905,-0.9533666666666676
S7_6,-10.7709860539,-0.7758666666666674
S8_4,-13.6703212401,-0.9279666666666682
S8_5,-22.4039520485,-2.9961666666666673
G135_1,-21.0080348057,-6.572666666666668
G135_3,-21.2898837574,-7.181466666666667
G150_1,-22.5945078575,-6.579466666666667
G150_2,-20.5779385812,-6.561166666666667
G150_3,-22.6094216229,-6.867866666666668
G180_1,-21.6255326099,-6.562666666666667
G180_2,-20.5473384202,-6.269966666666667
G180_3,-20.9385111434,-6.467266666666667
C30_1,-24.1023449709,-3.3524666666666683
C30_2,-23.6995427259,-2.5783666666666676
C90_1,-26.8775989121,-3.5178666666666683
C90_2,-27.3615054684,-3.365566666666668
BI_1,-29.5986168599,-2.9861666666666675
BI_2,-29.1094930228,-3.2490666666666677
BC_2,-30.7354744829,-1.3862666666666676
BC/t_1,-29.062821969,-1.026366666666668
BC/t_2,-28.8400671425,-0.9508666666666681
BC_1,-29.3250211022,-1.8711666666666673
Sw_1,-29.184323339,-0.7049666666666674
Sw_2,-27.8913937779,-1.2385666666666673
BT_1,-28.1306853524,-1.8337666666666674
BT_2,-27.9218519923,-2.4301666666666684
B36_1,-25.6945471189,0.2901333333333316
B36_2,-25.0745303701,0.047233333333332794
B60_1,-28.5367704343,0.35823333333333274
B60_2,-28.4500142223,0.9575333333333322
M9exp_1,-0.0445715245,0.251833333333332
M9exp_2,-0.48219141260000004,-0.04936666666666767
M9exp_3,0.5267629371,-0.2024666666666679
M9tran_1,-4.6519453866,-1.036666666666667
M9tran_2,-5.3990628912,-1.3150666666666684
M9tran_3,-3.1500077703000002,-0.7175666666666682
M9stat_1,-12.9818867812,-1.963066666666668
M9stat_2,-8.8961163478,-1.7032666666666678
M9stat_3,-8.2593737343,-1.5245666666666668
