,greB
Cr_1,-0.004278643633339363
Cr_2,0.0022460189391094684
Cr_3,0.010259210522287931
Cr_4,0.011952862063513462
Cr_5,0.011336730480495107
Cr_6,0.015455598565260704
Fe_1,-0.01275497256925072
Fe_2,-0.037945441133670654
Fe_3,-0.05064444695274207
Fe_4,-0.060618048271837935
Fe_5,-0.051988296185827725
Fe_6,-0.026992255632673462
Cd_1,0.0016815929769021776
Cd_2,0.003679241912237268
Cd_3,0.0069925361469151456
Cd_4,0.0048539809234914395
Cd_5,-0.002788717337620987
Cd_6,0.0029926100653527078
Zn_1,0.009705695241415714
Zn_2,0.018469975745558517
Zn_3,0.024514924971242583
Zn_4,0.07979784962611333
Zn_5,0.15402568650970913
Zn_6,0.3065106005043743
Cu_1,0.0074790804837125855
Cu_2,0.01379610704255948
Cu_3,0.018790666055969383
Cu_4,0.023533336307978273
Cu_5,0.030811109032864
Cu_6,0.03937924305895544
Pb_1,0.0034613872459401
Pb_2,0.013586119645451113
Pb_3,0.02069118867005925
Pb_4,0.027536652728218727
Pb_5,0.03588358564088987
Pb_6,0.045936480560986113
