,nudC
Cr_1,0.004842852480028747
Cr_2,0.01619635005141445
Cr_3,0.02690634194853284
Cr_4,0.02877291944256855
Cr_5,0.03999608354982749
Cr_6,0.039606879353531584
Fe_1,-0.010447259791647364
Fe_2,-0.0213343577310494
Fe_3,-0.03625384794577205
Fe_4,-0.052004708422248656
Fe_5,-0.053561054076201035
Fe_6,-0.0459278846918087
Cd_1,-0.0029357972769420565
Cd_2,-0.0041645793621927964
Cd_3,0.0017083178497232525
Cd_4,0.002265661013534227
Cd_5,-0.0023954293259630857
Cd_6,0.0022254286566932967
Zn_1,-0.006556705369294285
Zn_2,-0.011327053990490726
Zn_3,-0.015269829709303372
Zn_4,-0.025508710914274133
Zn_5,-0.03227780819449586
Zn_6,-0.03369407021557681
Cu_1,-0.00040632723264529864
Cu_2,0.0013997411369188414
Cu_3,0.00954443789412353
Cu_4,0.018305692338540645
Cu_5,0.02682919192885656
Cu_6,0.035818728716491735
Pb_1,0.0044218549923626255
Pb_2,0.006374287808107879
Pb_3,0.012587636521790062
Pb_4,0.02165328143833374
Pb_5,0.025967279604793395
Pb_6,0.027935494541153204
