,frr
Cr_1,0.003076554958621826
Cr_2,0.011085054116224444
Cr_3,0.0204010579961827
Cr_4,0.02579685243215983
Cr_5,0.0235643126611889
Cr_6,0.027955053632650304
Fe_1,-0.003588973563463228
Fe_2,-0.006885805203929879
Fe_3,-0.016061935827723424
Fe_4,-0.03196758213885532
Fe_5,-0.03840680608311031
Fe_6,-0.048267036058107726
Cd_1,0.0009665121802058812
Cd_2,-0.0036214033314407846
Cd_3,0.004159819711312916
Cd_4,0.010898377357605514
Cd_5,0.010447936038439685
Cd_6,0.02188494980359836
Zn_1,-0.0048302330446575725
Zn_2,0.0014607616542479539
Zn_3,0.01809443343242079
Zn_4,0.033061052932212294
Zn_5,0.04425281238258151
Zn_6,0.0451396819789301
Cu_1,-0.008218396233930602
Cu_2,-0.01256722190302266
Cu_3,-0.01984900937359966
Cu_4,-0.020339419571092514
Cu_5,-0.009528202117189542
Cu_6,0.005505580385464837
Pb_1,-0.004845955847872293
Pb_2,-0.009213953358910228
Pb_3,-0.011514302483277393
Pb_4,-0.006419813987586685
Pb_5,-0.015654070816638502
Pb_6,-0.02500081844823714
