,ecpD
Cr_1,0.01183903975305484
Cr_2,0.0247973451179984
Cr_3,0.044272591988764286
Cr_4,0.06468734696864784
Cr_5,0.08648569021357415
Cr_6,0.09319661470941296
Fe_1,-0.006392390637432306
Fe_2,-0.03306406400448391
Fe_3,-0.07093843037546839
Fe_4,-0.10340451494584776
Fe_5,-0.12621095199383708
Fe_6,-0.1525781087006883
Cd_1,0.004659545614632251
Cd_2,0.006782590941745296
Cd_3,0.002847831327833121
Cd_4,0.003062619392244446
Cd_5,-0.001497980805633989
Cd_6,-0.008515059114370857
Zn_1,-0.01638565700207445
Zn_2,-0.014515822077385462
Zn_3,0.01258681124575638
Zn_4,0.025578230672491827
Zn_5,0.03174656710208878
Zn_6,0.026872290847476887
Cu_1,0.0076558426230441375
Cu_2,0.016194681810825732
Cu_3,0.01735215455925226
Cu_4,0.0192533622035322
Cu_5,0.0248463618443214
Cu_6,0.03344974814872752
Pb_1,-0.005681395338410447
Pb_2,-0.008929188298273804
Pb_3,0.004034058460904122
Pb_4,0.023231684928929103
Pb_5,0.04359513162711722
Pb_6,0.048072317698879534
