,ypfG
Cr_1,0.019103991048450453
Cr_2,0.03600599999097222
Cr_3,0.05430237745794343
Cr_4,0.08284445246085201
Cr_5,0.1119445205753453
Cr_6,0.14485488883147835
Fe_1,-0.13577422304330866
Fe_2,-0.13836777881320014
Fe_3,-0.1569815662775328
Fe_4,-0.18838370789659886
Fe_5,-0.2385568808596473
Fe_6,-0.27851895826422657
Cd_1,-0.0014072238141060154
Cd_2,0.0012590681744141425
Cd_3,0.002545222697304257
Cd_4,0.00677037689893515
Cd_5,0.0006938897601683424
Cd_6,-0.004771247737370771
Zn_1,-0.0030585900329936433
Zn_2,-0.016077410296478363
Zn_3,-0.03071716165958362
Zn_4,-0.0513217594534164
Zn_5,-0.07654466246272842
Zn_6,-0.09541434390870084
Cu_1,0.0046429649212186
Cu_2,0.015861652543048138
Cu_3,0.0233991121941393
Cu_4,0.022474466840293986
Cu_5,0.0111113144671888
Cu_6,-0.0015064515537362311
Pb_1,0.016272358965149617
Pb_2,0.032824870787879844
Pb_3,0.04635097147691837
Pb_4,0.06345656476544367
Pb_5,0.0815189176661423
Pb_6,0.09059757949149633
