,argG
Cr_1,0.0020877096851409627
Cr_2,0.007963905977005106
Cr_3,0.0183472373967935
Cr_4,0.0220250462252213
Cr_5,0.02631010514537707
Cr_6,0.029409662922619643
Fe_1,0.00978830553868363
Fe_2,0.029158533314491336
Fe_3,0.051888347315387766
Fe_4,0.07644060106480563
Fe_5,0.1058074452055187
Fe_6,0.1332699509126568
Cd_1,0.0040720237089842725
Cd_2,0.008621464218986123
Cd_3,0.014137630974240275
Cd_4,0.019224731912589808
Cd_5,0.019138075953316083
Cd_6,0.02529222733852959
Zn_1,-0.000737696158126733
Zn_2,0.0026571907333646136
Zn_3,0.017654972943440532
Zn_4,0.03818033950295677
Zn_5,0.0566730719990618
Zn_6,0.0710132428130931
Cu_1,0.008679155016243327
Cu_2,0.014135261063844443
Cu_3,0.024710135804739457
Cu_4,0.030619981029174907
Cu_5,0.03661198531673269
Cu_6,0.0435093202623188
Pb_1,0.00338523047608413
Pb_2,0.005782486599736824
Pb_3,0.007726726355027931
Pb_4,0.008859253858953694
Pb_5,0.011897118897277629
Pb_6,0.011775512377841435
