,BSU_misc_RNA_14
M9exp_1,15.2888
M9exp_2,15.0434
M9exp_3,14.8302
M9tran_1,14.4091
M9tran_2,13.7783
M9tran_3,14.5892
M9stat_1,12.66
M9stat_2,13.307
M9stat_3,13.1111
MG-0.1_1,14.8296
MG-0.1_2,14.1405
MG-0.1_3,15.3116
MG-0.2_2,14.8069
MG-0.2_3,14.6352
MG+5_1,14.955
MG+5_2,14.4437
MG+5_3,14.7079
MG+10_1,15.3255
MG+10_2,15.2613
MG+10_3,13.9949
MG+15_1,14.8524
MG+15_2,15.6299
MG+15_3,15.3773
MG+25_1,15.0188
MG+25_2,14.6119
MG+25_3,15.0675
MG+45_1,14.6236
MG+45_2,14.1308
MG+45_3,15.3799
MG+60_2,14.3608
MG+60_3,14.7993
MG+90_2,14.5478
MG+90_3,15.5823
MG+120_1,13.7547
MG+120_2,14.7583
MG+120_3,14.6025
MG+150_1,14.6482
MG+150_3,14.9851
GM-0.1_1,14.5976
GM-0.1_2,14.8172
GM-0.1_3,15.2452
GM-0.2_1,14.1474
GM-0.2_2,15.2283
GM-0.2_3,14.9488
GM+5_1,14.0985
GM+5_2,14.874
GM+5_3,14.9933
GM+10_2,14.5933
GM+10_3,13.9741
GM+15_1,14.8476
GM+15_2,14.8194
GM+15_3,14.8742
GM+25_1,15.2822
GM+25_2,15.4164
GM+25_3,14.4604
GM+45_1,15.1459
GM+45_2,14.174
GM+45_3,13.1881
GM+60_1,14.9058
GM+60_2,13.9721
GM+60_3,14.0098
GM+90_1,15.0752
GM+90_2,14.8062
GM+90_3,14.8679
GM+120_1,13.2996
GM+120_3,13.9146
GM+150_1,14.3033
GM+150_2,14.5029
GM+150_3,14.3931
BT_1,11.0357
BT_2,10.4234
B36_1,13.6122
B36_2,12.6773
B60_1,14.0442
B60_2,14.2584
S0_1,13.8207
S0_2,14.698
S0_3,14.3815
S1_1,13.8439
S1_2,13.688
S1_3,14.3494
S2_1,14.1109
S2_2,14.1428
S2_3,13.2132
S3_1,13.7162
S3_2,14.5522
S4_1,14.7492
S4_2,14.1377
S4_3,13.9944
S5_1,13.7116
S5_2,13.6525
S5_3,14.6173
S6_1,13.1665
S6_2,10.0651
S6_3,13.6912
S6/t_1,13.3097
S6/t_2,9.7689
S6_4,13.0999
S6_5,13.7606
S6_6,13.7108
S7_4,13.7399
S7_5,13.0079
S7_6,13.4022
S8_4,12.6576
S8_5,11.158
G135_1,10.4201
G135_3,9.0586
G150_1,9.8927
G150_2,10.6814
G150_3,10.2712
G180_1,10.2961
G180_2,10.4975
G180_3,10.2197
T-5.40H_1,15.8989
T-4.40H_1,15.140999999999998
T-3.40H_1,14.9544
T-2.40H_1,14.912
T-1.40H_1,14.8798
