,iscS
Cr_1,-1.2076844293757224e-05
Cr_2,0.00875888209148163
Cr_3,0.010233882916354149
Cr_4,0.014750910122437087
Cr_5,0.029665694745941967
Cr_6,0.03616195282400839
Fe_1,-0.009216135954383876
Fe_2,-0.02665927041255925
Fe_3,-0.040622708663276885
Fe_4,-0.05187353432352798
Fe_5,-0.06048410324986495
Fe_6,-0.06537081523974249
Cd_1,0.012308791153977356
Cd_2,0.019721581237548042
Cd_3,0.028649785493150743
Cd_4,0.036918711911390165
Cd_5,0.03287593761624173
Cd_6,0.037388968316871884
Zn_1,-0.0072963579038154295
Zn_2,-0.004356789595094721
Zn_3,0.006044491334703302
Zn_4,0.0288483997518076
Zn_5,0.05103490732675665
Zn_6,0.07072281194889074
Cu_1,0.0012052485865674677
Cu_2,0.002593343313573136
Cu_3,0.004463900087133368
Cu_4,0.006534540707755811
Cu_5,0.01256678206949051
Cu_6,0.014494929918107831
Pb_1,0.007539987165482581
Pb_2,0.01828466479431369
Pb_3,0.03114142484885315
Pb_4,0.04656148162206256
Pb_5,0.051731232490857794
Pb_6,0.06505423956230756
