,folC
Cr_1,0.00045862684029297833
Cr_2,0.001462774924107551
Cr_3,0.0005516008409221938
Cr_4,0.0041963694272398955
Cr_5,0.012964339935460941
Cr_6,0.020868439754327138
Fe_1,-0.009367712616588673
Fe_2,-0.013806803844330574
Fe_3,-0.017440060028743848
Fe_4,-0.05274877132196256
Fe_5,-0.09639481777683884
Fe_6,-0.13761495610619962
Cd_1,0.016422158976182263
Cd_2,0.03318533935776775
Cd_3,0.05009592018002371
Cd_4,0.06634330290335179
Cd_5,0.07182511663101658
Cd_6,0.07942944871627662
Zn_1,-0.0003369155923487596
Zn_2,0.0009541675028962657
Zn_3,0.019361146996995933
Zn_4,0.0436081904400007
Zn_5,0.08680837853276764
Zn_6,0.12291535082772445
Cu_1,0.001975176690547361
Cu_2,-0.008459468059021433
Cu_3,-0.01244953874964838
Cu_4,-0.018698632937342224
Cu_5,-0.01771728191034379
Cu_6,-0.014905333776064431
Pb_1,0.0020744318712749925
Pb_2,0.0247767422085199
Pb_3,0.05036421801121296
Pb_4,0.05911025119600517
Pb_5,0.07455086170834725
Pb_6,0.09307845513704864
