,A,NhaR
R2,,0.05151467274211596
xmin,,-3.0594743096
xmid,,0.3009508976361929
xmax,,3.187953091
ystart,,-0.2446871585292073
yend,,8.84913459233411
SRX1125282,0.0006405993,0.0610369751
SRX1125283,0.3099588213,0.19175280220000002
SRX1125284,0.0649760837,-0.057753101700000004
SRX1125285,-0.7827745592,-0.1964388446
SRX1125286,-2.5179959362,-0.5548350341
SRX1125287,-3.7651713114,-0.708388357
SRX1125288,0.1599114687,0.0463721181
SRX1125289,0.7041656435,-0.32987815540000004
SRX1125290,-0.5728318250000001,-0.29674130390000003
SRX1125291,-1.0035039064,-0.6586446774
SRX1125292,-1.9711607093999999,-0.4813967174
SRX1125293,-2.7048868657,-0.1714723587
SRX1125294,-0.16055206800000002,-0.1074090932
SRX1125295,-0.031931555,-0.082133228
SRX1125296,-0.5456193362,-0.1880788309
SRX1125297,-0.5487613715,-0.13998707500000002
SRX1125298,-2.2715329561,-0.1814385851
SRX1125299,-2.3209663183,-0.15963679
SRX5694250,0.23366106320000002,0.41586902610000004
SRX5694251,-3.5102295737,-0.8684147126
SRX5694252,-4.0426929232,-1.5420053186
SRX5694253,-0.1670804568,-0.0721104492
SRX5694254,-5.651818742,-0.06634475790000001
SRX5694255,-2.7863967557000002,0.6106610327
SRX5694256,-2.4131527252,-0.461718283
SRX5694257,-3.8349671563000003,0.2166490963
SRX5694258,-1.3183073295,-0.3733223435
SRX5694259,-2.5081966059000003,-0.602775767
SRX5694260,-0.3670201142,0.3947130421
SRX5694261,-6.9495368523,-0.8916193591
SRX5694262,-3.5965734951,-0.946958426
SRX5694263,-2.7088877702,0.20969531500000002
SRX5694264,0.2234990014,-0.3524050657
SRX5694265,-3.0686135093,0.0022251817
SRX5694267,-0.35900060240000004,0.10843468760000001
SRX5694268,-2.2219366491,-0.3970867576
SRX5694269,-0.1145484722,0.1868300786
SRX5694271,0.2577783087,-0.25688854040000003
SRX5694273,-1.2142062807,-0.6050317687
SRX5694274,0.2915681741,0.0680939353
SRX5694275,-3.5926431657,-0.469117585
SRX5694276,-1.8653008814,-0.4032327486
SRX5694277,0.28122266690000003,0.7362582004
SRX5694278,2.0274051336,-0.24264154970000001
SRX5694279,0.20218983570000001,0.30097742380000003
SRX5694280,-6.8113157205,-0.7664489938
SRX5694281,0.3524695396,0.3652912206
SRX5694282,-2.1140810141,0.4070180021
SRX5694283,-3.7246698268,0.0881190991
SRX5694284,-3.7579499846,-0.1134485841
SRX5694285,-1.6711664323000002,0.28365329440000003
SRX5694286,-2.0738394941,0.1644266051
SRX5694287,-1.8791811487999999,-0.1497883774
SRX5694288,-0.1474360407,-0.2172274164
SRX5694289,-2.4087105778,-0.48880103290000004
SRX5694290,-0.052073961700000004,0.0055451801
SRX5694291,-2.3207796154,0.6942361301000001
SRX5694292,-0.19816072880000002,0.34175693960000003
SRX5694293,-0.0027220245,-0.392566436
SRX5694294,-0.8647619979000001,-0.0046422795
SRX5694295,-4.8938260677,0.0170366714
SRX5694296,-1.6880850075,0.1112470114
SRX5694297,-2.855903734,-0.4463220265
SRX5694298,-2.2993697153,0.34945517060000003
SRX5694299,0.0095818247,0.1251753704
SRX5694300,-1.3143997117000001,-0.0127678815
SRX5694301,-0.3932424041,0.0871979824
SRX5694302,0.013669879900000001,-0.18167017500000002
SRX5694303,-0.4123998218,0.1713699914
SRX5694304,-2.4839272461,0.1795436402
SRX5694305,-4.2672521326,-0.5182419297
SRX5694306,-3.8709507755,-0.9970822134
SRX5694307,-2.0786488669,1.1018711978
SRX5694308,0.16821377170000001,-0.0477872851
SRX5694309,-2.429306372,-0.5684679186
SRX5694310,-5.3498502764,-0.44570524300000003
SRX5694311,-2.7196161738,-0.6439773359000001
SRX5694312,-3.1553986743,-1.2781474891
SRX5694313,-4.1831723209,0.3088977751
SRX5694315,-1.7842676653,-0.983853461
SRX5694317,-0.5085227796,0.6088999331
SRX5694319,-1.4958869886000001,-0.3287554324
SRX5694320,-2.9125674427,0.8495803578000001
SRX5694321,-3.195904533,-0.1300428422
SRX5694322,-2.10860728,0.0574882748
SRX5694323,-2.9798202317999998,0.0012166393000000001
SRX5694324,0.1937658267,-0.059273289900000005
SRX5694325,-3.6321614179,-0.4770488828
