,nlpA
Cr_1,0.003257590843308295
Cr_2,0.0214847757505678
Cr_3,0.045044048951615484
Cr_4,0.06562519738816121
Cr_5,0.08684966300487586
Cr_6,0.10299587948714056
Fe_1,-0.011122683574675548
Fe_2,-0.014917564494760987
Fe_3,-0.03792378331246828
Fe_4,-0.059938027056789876
Fe_5,-0.08104204554669746
Fe_6,-0.09918465434427642
Cd_1,0.003931733267730356
Cd_2,0.01201732077860433
Cd_3,0.018281223228287503
Cd_4,0.02244455022221676
Cd_5,0.02296792136588667
Cd_6,0.027702940702834324
Zn_1,0.0054790223919875146
Zn_2,0.006120586705204449
Zn_3,0.0059215564078375
Zn_4,0.008188547475604213
Zn_5,0.0150201928731629
Zn_6,0.017703283880485574
Cu_1,0.007243980899070693
Cu_2,0.016304011402626842
Cu_3,0.025108625500046042
Cu_4,0.03030793065868778
Cu_5,0.03605347864599212
Cu_6,0.042029160688838815
Pb_1,0.0014820124609172067
Pb_2,0.0062173524171392795
Pb_3,0.00839628600368232
Pb_4,0.008016052047690401
Pb_5,0.008539248751651674
Pb_6,0.011147266075243004
