,nlpC
Cr_1,-0.0011091712681273046
Cr_2,-0.000564011738750276
Cr_3,0.0018956081841548973
Cr_4,0.003683413009682927
Cr_5,0.005338959697501492
Cr_6,0.008693013188361092
Fe_1,-0.006500767459537354
Fe_2,-0.013541812959639013
Fe_3,-0.014140772394596638
Fe_4,-0.020620112037108944
Fe_5,-0.020478761786608117
Fe_6,-0.018105964420075327
Cd_1,-0.002858549931977829
Cd_2,-0.0028610913561171306
Cd_3,0.0006199268261017646
Cd_4,0.006180559623970747
Cd_5,0.008864958320124633
Cd_6,0.016210352954160616
Zn_1,-0.006011160664531163
Zn_2,-0.004034288948066064
Zn_3,0.009972555567251051
Zn_4,0.03073338289868888
Zn_5,0.05061626918957244
Zn_6,0.07084392385008635
Cu_1,0.003867453366651055
Cu_2,0.009034126733328832
Cu_3,0.017732866427059506
Cu_4,0.02720312535785551
Cu_5,0.03482438940241185
Cu_6,0.046415624245348314
Pb_1,0.0056746029341925314
Pb_2,0.002684791918844651
Pb_3,-0.0010751663973501916
Pb_4,0.005542160955427739
Pb_5,0.01856725789438964
Pb_6,0.03114260155366502
