,name,weight,product,cog,operon
b2243,glpC,0.018143493518875,anaerobic glycerol-3-phosphate dehydrogenase subunit C,Energy production and conversion,"glpA,glpB,glpC"
b2241,glpA,0.009718933540039,anaerobic glycerol-3-phosphate dehydrogenase subunit A,No COG Annotation,"glpA,glpB,glpC"
b3926,glpK,0.005163127866429,glycerol kinase,Energy production and conversion,"glpF,glpK,glpX"
b2242,glpB,0.0022166416563529994,anaerobic glycerol-3-phosphate dehydrogenase subunit B,Amino acid transport and metabolism,"glpA,glpB,glpC"
b2240,glpT,-0.008375973239968,glycerol-3-phosphate:phosphate antiporter,No COG Annotation,"glpT,glpQ"
b3927,glpF,-0.008527790298500001,glycerol channel GlpF,Carbohydrate transport and metabolism,"glpF,glpK,glpX"
b3426,glpD,-0.010539716927399998,"glycerol-3-phosphate dehydrogenase, aerobic",Energy production and conversion,glpD
b3925,glpX,-0.019033239112479,"fructose 1,6-bisphosphatase II",Carbohydrate transport and metabolism,"glpF,glpK,glpX"
b2239,glpQ,-0.024079552621092005,"glycerophosphoryl diester phosphodiesterase, periplasmic",Energy production and conversion,"glpT,glpQ"
