,yfbU
Cr_1,0.0036154231131395845
Cr_2,0.007656962116528988
Cr_3,0.0136770983691582
Cr_4,0.013798035073419493
Cr_5,0.014379542650229999
Cr_6,0.013618481089946266
Fe_1,0.0007638148982252245
Fe_2,-0.01967176925270501
Fe_3,-0.05578014097225434
Fe_4,-0.10122866460991813
Fe_5,-0.13856488023212485
Fe_6,-0.16912205897676524
Cd_1,3.7708591145844974e-05
Cd_2,-0.002058226381168436
Cd_3,-0.003071272995164714
Cd_4,-0.004157413812651952
Cd_5,-0.009913132300143195
Cd_6,-0.008304165722304644
Zn_1,-0.009805492215026277
Zn_2,-0.031492058034614585
Zn_3,-0.056232286336601565
Zn_4,-0.07602217257511776
Zn_5,-0.08697887476142477
Zn_6,-0.0935973660481346
Cu_1,0.004834640073324719
Cu_2,0.008370630866020929
Cu_3,0.01581248179518271
Cu_4,0.02444911124612921
Cu_5,0.03250860023581648
Cu_6,0.03986998610395802
Pb_1,-0.00016781331997376252
Pb_2,0.0023548242857082922
Pb_3,0.0036529702286346704
Pb_4,0.012035395884122124
Pb_5,0.018938452565624733
Pb_6,0.024504776074026388
