,yqaD
Cr_1,0.004780950885917369
Cr_2,0.010080277740841343
Cr_3,0.012241078340326485
Cr_4,0.017464227043512626
Cr_5,0.02402211005763062
Cr_6,0.02884213916210065
Fe_1,-0.013165794210822736
Fe_2,-0.032901834565660204
Fe_3,-0.05506907721095832
Fe_4,-0.07509661106607116
Fe_5,-0.09293129417675032
Fe_6,-0.10865533997759028
Cd_1,0.002627704546892307
Cd_2,0.006163819699105132
Cd_3,0.00883953036888247
Cd_4,0.011475118591671845
Cd_5,0.007947594647857575
Cd_6,0.010284175583158915
Zn_1,-0.003253366710550509
Zn_2,-0.008843872597047107
Zn_3,-0.009852962831837104
Zn_4,-0.006515618486042181
Zn_5,-0.008419941585859724
Zn_6,-0.011795984489796428
Cu_1,0.005519467257605783
Cu_2,0.01174884150557987
Cu_3,0.019322514597603827
Cu_4,0.0249020196218025
Cu_5,0.03071268684147505
Cu_6,0.0380740762314751
Pb_1,0.004968801555376294
Pb_2,0.010089039974961527
Pb_3,0.01622474494130646
Pb_4,0.024435301268696454
Pb_5,0.03307061049417112
Pb_6,0.04328922821377449
