,-0.06762950697182131,-0.054103605577457047,-0.04057770418309278,-0.02705180278872852,-0.013525901394364256,1.3877787807814457e-17,0.01352590139436427,0.027051802788728527,0.0405777041830928,0.05410360557745707,0.06762950697182134,0.08115540836618558,0.09468130976054985,0.10820721115491412,0.12173311254927836,0.13525901394364265,0.14878491533800692,0.1623108167323712,0.17583671812673546,0.18936261952109973
thresh,-0.04734065488027492,0.04734065488027492,2,,,,,,,,,,,,,,,,,
unreg,0,0,8,86,1078,2219,578,91,27,9,3,1,4,0,0,0,0,0,0,0
SigB,1,0,3,4,28,60,43,28,16,12,5,4,3,2,3,3,1,4,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],['opuCC' 'ytzB' 'yhcX' 'ykzB' 'spbT' 'opuCD' 'glpW' 'opuCB' 'opuCA'],['BSU_28509' 'rocD' 'yuxJ'],['ydzM'],['yddT' 'yumB' 'yomL' 'youB'],[],[],[],[],[],[],[]
SigB_genes,['clsC'],[],['ywjC' 'csbB' 'yjzE'],['yqxL' 'csbA' 'yfkS' 'nhaX'],"['ykzI' 'mgsR' 'yebE' 'suhB' 'yydC' 'rsbRD' 'ypuD' 'spo0E' 'rsbV' 'chaA'
 'yjbC' 'ykzC' 'ydeC' 'yfhK' 'rsbW' 'yceF' 'recO' 'yqhQ' 'ymaE' 'yceD'
 'yceE' 'yceG' 'opuE' 'phoP' 'ctsR' 'fin' 'bmrU' 'yxjJ']","['yflB' 'yceH' 'infB' 'sufL' 'luxS' 'ytaB' 'era' 'pgoN' 'yyzH' 'dctB'
 'yfkQ' 'yceC' 'yfhF' 'csbC' 'rimP' 'rulQ' 'ytfP' 'secG' 'cdd' 'mapB'
 'ydzE' 'yflD' 'ydaF' 'yfhO' 'sigB' 'ytkK' 'rulR' 'mcsA' 'bmrR' 'gtaB'
 'yqhP' 'ddaH' 'pth' 'yoxB' 'yfhE' 'ywtG' 'epsJ' 'phoR' 'yfhD' 'estA'
 'spxA' 'glxK' 'hpf' 'nusA' 'rsbU' 'sodA' 'ypuB' 'mcsB' 'mscT' 'yqzL'
 'ytkC' 'ctc' 'ywsA' 'ytiB' 'pgl' 'ydfO' 'yqjL' 'ywjA' 'yfkR' 'spdL']","['rsbRA' 'epsK' 'yfkT' 'rsbX' 'opuD' 'ydaL' 'ywlB' 'yxjI' 'yebG' 'rsbT'
 'yflA' 'rsbS' 'ywsB' 'yacL' 'ispF' 'ytkL' 'rnr' 'ywmE' 'yvzE' 'ypuC'
 'clpP' 'yflI' 'yqhB' 'ydfP' 'ppuG' 'rbfA' 'smpB' 'yfkD' 'ipi' 'ispD'
 'yitT' 'bmr' 'trxA' 'aag' 'yocK' 'yuzH' 'ypuC' 'ysdB' 'rpmEB' 'nadE'
 'dacC' 'ydaM' 'radA']","['disA' 'menE' 'ytxG' 'akrN' 'ydaN' 'ephM' 'ywjB' 'clpC' 'ylxP' 'yoaA'
 'yugU' 'cypE' 'gspA' 'yxbG' 'guaN' 'yvrE' 'ywmF' 'gabD' 'dps' 'galM'
 'yybO' 'menC' 'ybyB' 'csbX' 'yflH' 'plsC' 'sleL' 'yfkJ']","['yczO' 'yxaB' 'yoxC' 'ydaG' 'yerD' 'nnrA' 'iolW' 'ydaC' 'ytxH' 'brxJ'
 'yxnA' 'rbn' 'yyzG' 'farP' 'ydhK' 'yfkI']","['ymzB' 'yvbG' 'aldY' 'yxiS' 'ywzA' 'bofC' 'yaaI' 'yhdF' 'cypC' 'yhcM'
 'yvgO' 'ykzN']",['ycdF' 'katE' 'yxzF' 'csbD' 'ydaT'],['sufLB' 'poxB' 'ycdG' 'yocB'],['ohrB' 'ycbP' 'katX'],['yjgB' 'yflT'],['yjgC' 'yycD' 'yuzA'],['ydaS' 'ydbD' 'ydaD'],['lyxE'],['yhxD' 'ygxB' 'gsiB' 'ysnF'],['yjgD'],[]
