,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,-3.33333360913457e-11,0.18602806604254832,3.0,0.0,-0.0885053997,1.0,0.21375649630000002,2.0,-0.1252510967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-0.3923203512666667,0.5299998048674496,3.0,3.0,-0.6539315490000001,4.0,-0.7406488454,5.0,0.21761934060000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-0.7155140415666668,0.06276130536610798,3.0,6.0,-0.7447982412,7.0,-0.7582810716,8.0,-0.6434628119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.761906477600605e-12,0.2039634069698532,21.0,9.0,0.0757469975,10.0,-0.1701413934,11.0,0.0594433907,12.0,0.3262699063,13.0,-0.1145215381,14.0,-0.285320862,15.0,-0.0967342503,16.0,-0.08251068360000001,17.0,0.335220668,18.0,0.0976762687,19.0,-0.2912989894,20.0,-0.33300682400000003,21.0,0.0300151772,22.0,0.12403601880000001,23.0,0.064225155,24.0,0.17752859510000002,25.0,0.3950907892,26.0,0.0357207339,27.0,-0.0398454777,28.0,-0.1738572286,29.0,-0.1337364534
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,0.25184355992857144,0.41510914316355785,21.0,30.0,1.1962770726,31.0,0.20124991920000002,32.0,0.1155052763,33.0,0.7721950555,34.0,0.1225273793,35.0,0.49023015810000004,36.0,0.3014212591,37.0,-0.047154654500000004,38.0,0.5026383186,39.0,0.1190718092,40.0,0.0688670191,41.0,-0.19923461280000002,42.0,-0.28992646180000003,43.0,0.2685462146,44.0,-0.43529483690000004,45.0,-0.3068965694,46.0,0.8508780575,47.0,0.058547987100000004,48.0,0.5052960995,49.0,0.7427298202,50.0,0.251240448
5,WT_vs_Del_ccpA__THY_None_WT_exponential,3.3333326839487164e-11,0.14662852286120107,3.0,51.0,-0.14077984670000002,52.0,-0.0110698813,53.0,0.1518497281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-0.308211082075,0.28110459659938336,4.0,54.0,0.047156926700000004,55.0,-0.6174594641000001,56.0,-0.4151603741,57.0,-0.2473814168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,2.500000900740318e-11,0.1841311600679144,4.0,58.0,-0.1578616628,59.0,0.1881427381,60.0,-0.1582076304,61.0,0.12792655520000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.192907187625,0.14313785605213614,4.0,62.0,-0.3225329247,63.0,-0.0554542078,64.0,-0.3102636388,65.0,-0.08337797920000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-0.031241302474999996,0.2129706888026668,4.0,66.0,0.0714094666,67.0,-0.025849512,68.0,0.15934597620000002,69.0,-0.3298711407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
