,SP5448_07440
SRX1726505,-0.0103151639
SRX1726506,-0.0102596895
SRX1726507,0.0205748533
SRX1726508,-1.6903145592
SRX1726509,-1.5210785215
SRX1726510,-0.3443921987
SRX1726511,-1.9427805711000001
SRX1726512,-1.8662970174
SRX1726513,-1.7426630789000002
SRX1081650,0.1338082684
SRX1081651,-0.0663916284
SRX1081652,0.0697165955
SRX1081653,-0.0536575106
SRX1081654,-0.0972707921
SRX1081655,0.4819731271
SRX1081656,0.0416089957
SRX1081657,-0.3797717345
SRX1081658,-0.2508352848
SRX1081659,-0.1302558133
SRX1081660,0.1686529233
SRX1081661,-0.0615654698
SRX1081662,0.0171890296
SRX1081663,-0.142552003
SRX1081664,0.06432291300000001
SRX1081665,0.044735417900000005
SRX1081666,-0.1907863699
SRX1081668,0.3681008047
SRX1081669,0.0830814959
SRX1081670,-0.2072158459
SRX1081671,0.10711288120000001
SRX1081672,-1.0844185274
SRX1081673,-2.5695692971
SRX1081674,-1.7449103303
SRX1081675,-1.9522844722000001
SRX1081676,-0.6221056153
SRX1081677,-1.5504157238
SRX1081678,-1.2050021613
SRX1081679,-1.8404637929
SRX1081680,-1.7380279966
SRX1081681,-2.3360949526
SRX1081682,-2.2507468824
SRX1081683,-2.2725486005
SRX1081684,-1.4455203381000001
SRX1081685,-2.225791293
SRX1081686,-2.1566257036
SRX1081687,-1.5561977327
SRX1081688,-3.9739544129
SRX1081689,-1.6810920595
SRX1081690,-1.0756549417
SRX1081691,-1.268995831
SRX1081692,-0.8098927090000001
SRX1962715,-0.0002043884
SRX1962716,-0.0039446275
SRX1962717,0.0041490159000000006
SRX1962718,-1.5309243712
SRX1962719,-0.7125082528000001
SRX1962720,-0.6568877853
SRX1962721,-0.7127635416
SRX4892146,0.06785524350000001
SRX4892147,-0.0216520272
SRX4892148,-0.0443506501
SRX4892149,-0.0018525662
SRX4892150,-0.36136440470000003
SRX4892151,-0.2778034599
SRX4892152,-0.2526603479
SRX4892153,-0.3495505257
SRX4892154,-0.23578439280000002
SRX4892155,-0.1824691636
SRX4892156,-0.2687465288
SRX4892157,-0.2553054251
SRX4892158,0.1400981336
SRX4892159,0.066676573
SRX4892160,0.1389151931
SRX4892161,0.1094100753
SRX7620814,0.7527494721
SRX7620815,0.6050675448
SRX7620816,0.6660999649
SRX7620817,-0.7887059179
SRX7620818,-0.7321676785
SRX7620819,-0.7613225946000001
SRX7620856,-1.328244092
SRX7620857,-4.9397396204
SRX7620858,-1.0140298699
SRX7620859,-4.7218537042
SRX7620860,-1.0371027536
SRX7620861,-4.6879064641
SRX7620862,-0.7485346797
SRX7620863,-2.0106380261
SRX7620864,-0.5577910628
SRX7620865,-2.0859161423
SRX7620866,-0.7175912393
SRX7620867,-3.0278067796
SRX2161502,-0.10056967280000001
SRX2161503,0.10118173770000001
SRX2161504,-0.0006120649
SRX2161505,-0.1350999356
SRX2161506,0.0535278121
SRX2161507,0.0974802714
SRX2161508,0.0390563522
SRX2161509,-0.0456840674
SRX2161510,-0.0616311396
SRX2161511,-0.2274569318
SRX2161512,-0.3401792034
SRX2161513,-0.2922291178
SRX2161514,-1.6140848510999999
SRX2161515,-1.4522374657000001
SRX2161516,-1.4174737306
SRX2161517,-1.000112193
SRX2161518,-0.7717022922
SRX2161519,-1.1119103245
SRX2161520,-1.0063947822
SRX2161521,-1.2511154964
SRX2161522,-1.1086313963
SRX2161523,-1.4152748513
SRX2161524,-1.4885563402
SRX2161525,-1.5563783035
