,rfbB
Cr_1,0.0043559344002535
Cr_2,0.010656827028293141
Cr_3,0.012616522666148171
Cr_4,0.015431487192491081
Cr_5,0.01827405972910921
Cr_6,0.02022920385496319
Fe_1,-0.00814795341047091
Fe_2,-0.02362978044669509
Fe_3,-0.03404092004965645
Fe_4,-0.035395097692525815
Fe_5,-0.033898920761273516
Fe_6,-0.014811973051245382
Cd_1,0.00286149807933427
Cd_2,0.007017049358571696
Cd_3,0.01148534091168233
Cd_4,0.015059946700240169
Cd_5,0.01764954747855883
Cd_6,0.02814194708900754
Zn_1,0.015823111196522466
Zn_2,0.02599350324697584
Zn_3,0.03189770259069754
Zn_4,0.03937142608605824
Zn_5,0.04265666220104978
Zn_6,0.046933776139958465
Cu_1,0.014280195765548363
Cu_2,0.035051893679271084
Cu_3,0.04784573009054865
Cu_4,0.05872560658091865
Cu_5,0.06324287438277791
Cu_6,0.06827509092656582
Pb_1,0.010320635367939904
Pb_2,0.017592051325546795
Pb_3,0.015056355127205824
Pb_4,0.02416209543268521
Pb_5,0.028493333602669733
Pb_6,0.03454069035986015
