,ybaQ
Cr_1,-0.001792045186500061
Cr_2,0.0016871464253885122
Cr_3,0.0057897330698734135
Cr_4,0.013104852597088105
Cr_5,0.020064024395973254
Cr_6,0.02359119316514587
Fe_1,0.001330164725625826
Fe_2,-0.003842304367872525
Fe_3,-0.013587110020350979
Fe_4,-0.017564588461522822
Fe_5,-0.024610393059273403
Fe_6,-0.03549326047170282
Cd_1,0.0025815471256549843
Cd_2,0.00194198975731388
Cd_3,0.004616359320801126
Cd_4,0.016692356566438936
Cd_5,0.010087005690716279
Cd_6,0.01574718252978979
Zn_1,-0.005910738045661781
Zn_2,-0.002735990811058036
Zn_3,0.022483828665907517
Zn_4,0.05194818886711742
Zn_5,0.0768150165583926
Zn_6,0.08851428861352029
Cu_1,0.0002198612827322242
Cu_2,0.004418202982775235
Cu_3,-0.0053548744703467216
Cu_4,0.004645132755232594
Cu_5,0.023122221496407767
Cu_6,0.03604880512187282
Pb_1,0.00973209378543837
Pb_2,0.024153961424091056
Pb_3,0.03492585466484102
Pb_4,0.04891287107268465
Pb_5,0.06512631494982464
Pb_6,0.0816314938808377
