,A,TrpR
R2,,0.19357454622039505
xmin,,-4.501590303
xmid,,-2.9960974169090666
xmax,,1.809756259
ystart,,-6.487612935353598
yend,,3.21314419160835
aat__00m_00s__1,-0.4658033433,0.1606012865
aat__00m_30s__1,-0.0491421276,-0.12391958400000001
aat__01m_00s__1,0.0455111504,-0.3100386518
aat__02m_00s__1,-0.4822973788,-0.3505925313
aat__05m_00s__1,-2.5122010889,-0.3777912278
aat__10m_00s__1,-3.8427143035,-0.3950456975
aat__00m_00s__2,0.5253516023,-0.09263666670000001
aat__00m_30s__2,-0.0121726258,-0.005369098100000001
aat__01m_00s__2,-0.37104498020000004,-0.32856537480000003
aat__02m_00s__2,-1.0334596733,-0.3608583647
aat__05m_00s__2,-3.6087428208,-0.7617888625
aat__10m_00s__2,-5.6409886514,-0.43776206
aat__00m_00s__3,-0.059548259000000006,-0.0679646198
aat__00m_30s__3,-1.0012944387,-0.1159042373
aat__01m_00s__3,-0.0045254927000000006,-0.5761793605000001
aat__02m_00s__3,-1.0859114795,-0.5679268645000001
aat__05m_00s__3,-4.0443309163,-0.3429598373
aat__10m_00s__3,-5.0642138654,-0.1071757698
abx_mega__dmso-2__1,1.6053663261,-1.4564430838
abx_mega__ery_dmso__1,1.2243076076000001,0.1412312607
abx_mega__nal_naoh__1,3.1619239671,-1.2722492634
abx_mega__dmso-5__1,0.3403544826,-0.1319763557
abx_mega__rif_dmso__1,-0.3177300441,-0.0272524143
abx_mega__novo_h2o__1,-3.4639684819,-0.6445440887
abx_mega__rach_dmso__1,2.3572299585,0.1825067264
abx_mega__metro_dmso__1,-0.5882781935,0.5407103555
abx_mega__dmso-6__1,0.4001830497,0.2813199014
abx_mega__chl_h2o__1,2.1564074523,-0.0057941823
abx_mega__cst_h2o__1,0.6826924999,-0.0796885586
abx_mega__tec_h2o__1,6.8207722985,-0.40840924500000003
abx_mega__str_h2o__1,1.4521961563999999,-4.2186842036
abx_mega__ctx_h2o__1,0.6626853607000001,-0.045439042900000004
abx_mega__nal_naoh__2,-0.5615533364,0.3580623493
abx_mega__phos_h2o__1,1.6171558092,-0.13159776850000002
abx_mega__dmso-5__2,0.9325525261000001,-0.5216482739
abx_mega__polmyx_h2o__1,0.4318571372,0.3895198053
abx_mega__h2o-8b__1,1.8177246975,-0.039398632600000004
abx_mega__h2o-6__1,0.5624810857,0.2890302314
abx_mega__thio_dmso__1,0.9404840994,-1.2549466185
abx_mega__phos_h2o__2,-0.0009415787,0.0078976311
abx_mega__ctx_h2o__2,3.7002510511,-0.0422744955
abx_mega__lzd_dmso__1,1.6453665079,-0.40694977600000004
abx_mega__naoh-9__1,2.0739562904,-0.2235667319
abx_mega__dox_dmso__1,0.8384384346,-0.7883010974
abx_mega__phos_ethanol__1,0.5389740267,0.5648314589
abx_mega__teix_dmso__1,2.7938842356,-0.6757463920000001
abx_mega__dmso-10__1,0.5487728404000001,0.0938522044
abx_mega__van_dmso__1,0.7404911265,-0.9910347279
abx_mega__ramo_h2o__1,3.271760177,-0.3647642205
abx_mega__tec_h2o__2,3.2949501036,0.42645153820000004
abx_mega__h2o-7__1,3.9626480369,-0.03884322
abx_mega__cro_h2o__1,3.7573638674,-0.32697952610000003
abx_mega__tric_ethanol__1,3.1297197879,0.2875256249
abx_mega__nor_naoh__1,-0.7503100954,-0.0038189972000000003
abx_mega__teix_dmso__2,1.3030579617,-0.0298895718
abx_mega__nal_naoh__3,-0.6916289747000001,0.1274702044
abx_mega__novo_h2o__2,-2.9062971768,-1.3044664898
abx_mega__dmso-10__2,0.7987030562,0.1824383286
abx_mega__phos_h2o__3,0.541087799,-0.0754561205
abx_mega__dmso-6__2,-0.0038678009,-0.0136724797
abx_mega__rfp_ethanol__1,1.5849931709,-1.1039713668
abx_mega__dmso-5__3,0.5780887819,0.4182343781
abx_mega__amyc-d_dmso__1,-0.6962203586,0.18960378590000002
abx_mega__sxt_dmso__1,2.9364020727,-0.0540716529
abx_mega__dmso-1__1,-0.7262222284000001,-0.2880843349
abx_mega__pen_h2o__1,1.1408561905,-0.5638210717000001
abx_mega__dmso-10__3,0.5267208958,0.2457184409
abx_mega__nal_naoh__4,1.3911221292,0.0161267074
abx_mega__cip_naoh__1,0.4081234475,-0.015366392000000001
abx_mega__pen_h2o__2,1.0567814249,-0.28197189510000004
abx_mega__ery_dmso__2,0.9242729684000001,-0.3701911818
abx_mega__dmso-2__2,2.4974701866,-0.4252307963
abx_mega__van_dmso__2,-0.1299450341,-1.1390617793
abx_mega__h2o-1b__1,1.4806706525,0.096314249
abx_mega__ery_h2o__1,0.4929373052,-0.6346805284
abx_mega__bacit_h2o__1,3.6277962228,-0.4131177199
abx_mega__chl_h2o__2,1.5625612995,-0.3477316005
abx_mega__str_h2o__2,1.0554468578,-2.9279704145
abx_mega__rfp_ethanol__2,2.2437575143,-0.0890108017
abx_mega__polmyx_h2o__2,0.7725324001,-0.2114005183
abx_mega__tric_h2o__1,1.7364993882,0.35494913840000003
abx_mega__cip_naoh__2,0.1596993863,0.0455295173
abx_mega__novo_h2o__3,-2.4706852204,-1.0372633859
abx_mega__bacit_dmso__1,5.1936048617,0.1922571768
abx_mega__gen_h2o__1,4.0317444852,-1.6428456044000002
abx_mega__bacit_dmso__2,6.4254251831,0.1504316098
abx_mega__chl_dmso__1,2.9925937163,-0.7345524955
abx_mega__bacit_h2o__2,1.9745433288,0.0737956135
abx_mega__lvx_dmso__1,4.7564933775,-0.06445219840000001
abx_mega__bacit_h2o__3,3.0306931321,-0.2959127646
abx_mega__nor_naoh__2,-0.5152436111,-0.0878631968
abx_mega__amyc-d_dmso__2,0.0635622211,0.677560935
abx_mega__polmyx_h2o__3,3.2123755937,-1.4326098197000001
abx_mega__naoh-6__1,0.9125970911,0.0160790199
abx_mega__cst_h2o__2,1.2732388648000001,0.24565288400000002
abx_mega__h2o-1b__2,2.0526204612,0.2054228363
abx_mega__rfp_h2o__1,1.3426979037,-0.8459240737
abx_mega__tet_h2o__1,-0.0994831244,-0.9782861643
