,gltA
Cr_1,0.007886336883668034
Cr_2,0.012687654168641557
Cr_3,0.02666542666562015
Cr_4,0.035444786221233364
Cr_5,0.0415254690786185
Cr_6,0.039663749927339925
Fe_1,-0.010468500725260135
Fe_2,-0.01943489681608249
Fe_3,-0.028642300956900343
Fe_4,-0.035743831420872736
Fe_5,-0.032243817782115484
Fe_6,-0.021063441689196726
Cd_1,-0.004560595168075253
Cd_2,-0.008806347419616797
Cd_3,-0.009033468561210442
Cd_4,-0.012663170118434474
Cd_5,-0.016665808618444945
Cd_6,-0.01142108471416125
Zn_1,-0.0076262419402548295
Zn_2,-0.009617687208549195
Zn_3,-0.0029127819291109853
Zn_4,0.003365700275555447
Zn_5,0.007597299315016586
Zn_6,0.006859935365453137
Cu_1,0.0058569210369568536
Cu_2,0.005841441346583028
Cu_3,0.00467877135286238
Cu_4,-0.004406121465022325
Cu_5,-0.006091505699993783
Cu_6,-0.005295323673669104
Pb_1,-0.0021312820254696585
Pb_2,-0.005216878922000628
Pb_3,-0.005032383231448152
Pb_4,-0.0058859058658053895
Pb_5,-0.004649789786259497
Pb_6,0.0005379923746603988
