,ybaP
Cr_1,-0.002805891579229493
Cr_2,-0.008166314458080475
Cr_3,-0.0022106199187884147
Cr_4,0.007718509923833787
Cr_5,0.01801912683299544
Cr_6,0.024734951395254844
Fe_1,-0.02412924260655008
Fe_2,-0.06520932589229164
Fe_3,-0.10790071904545552
Fe_4,-0.13900203262300054
Fe_5,-0.1692450013290393
Fe_6,-0.20847568988896292
Cd_1,0.00580454681922883
Cd_2,0.006436267995986999
Cd_3,0.008971019736968483
Cd_4,0.014910386112370187
Cd_5,0.012109227517937244
Cd_6,0.016904232335408872
Zn_1,0.026919426758376042
Zn_2,0.05955550418333293
Zn_3,0.08997386475274895
Zn_4,0.12625748762159458
Zn_5,0.16947183437470592
Zn_6,0.18745594325470197
Cu_1,-0.013333960262622556
Cu_2,-0.014435572539786553
Cu_3,-0.0030338673496698785
Cu_4,0.003247201098923328
Cu_5,0.008673086656313457
Cu_6,0.004308336331785788
Pb_1,-6.605230638100833e-05
Pb_2,0.0007666532208285528
Pb_3,0.0025342303278837407
Pb_4,0.009732745965733236
Pb_5,0.015998887023095126
Pb_6,0.02742306919464723
