,idi
Cr_1,0.006225564507754717
Cr_2,0.014282732204714762
Cr_3,0.02816614341739689
Cr_4,0.04813606350164732
Cr_5,0.07120921814396529
Cr_6,0.09613303603177913
Fe_1,-0.007805848465868094
Fe_2,-0.03613833894700198
Fe_3,-0.05945540334761468
Fe_4,-0.08657150600853454
Fe_5,-0.1162851876004164
Fe_6,-0.13327825349919092
Cd_1,0.003561459368193681
Cd_2,0.00805773336697383
Cd_3,0.012102667005053244
Cd_4,0.014582842247500168
Cd_5,0.014411496078228468
Cd_6,0.01761003923404974
Zn_1,0.0020326474044269527
Zn_2,0.0059747398062436965
Zn_3,0.006123267273915971
Zn_4,0.015743559760415297
Zn_5,0.016138403148881153
Zn_6,0.012748194758152571
Cu_1,0.0007088099655095173
Cu_2,0.004200472993137306
Cu_3,0.012499443769688177
Cu_4,0.022588295471411588
Cu_5,0.02990579514634774
Cu_6,0.037854613714002464
Pb_1,0.009544332692766052
Pb_2,0.02060661445372734
Pb_3,0.034049101482934566
Pb_4,0.05516287063160213
Pb_5,0.07626218074536616
Pb_6,0.09140905531626642
