,ydjA
Cr_1,-0.0011620973356229881
Cr_2,-0.00034149114392225733
Cr_3,0.0010650049333102648
Cr_4,0.002196092293142326
Cr_5,0.00026019406446067713
Cr_6,-0.005359576649646557
Fe_1,-0.00764591971401818
Fe_2,-0.02214278815158475
Fe_3,-0.0355659168225189
Fe_4,-0.05180891270245205
Fe_5,-0.0633948066152601
Fe_6,-0.06663898866012112
Cd_1,0.004006893311686149
Cd_2,0.0070773757660453655
Cd_3,0.008663004224040585
Cd_4,0.009938979574976137
Cd_5,0.0061413567616676
Cd_6,0.006514473283687324
Zn_1,0.0027192930945759163
Zn_2,0.007767084179971882
Zn_3,0.02217827636297789
Zn_4,0.039141072604741284
Zn_5,0.06086738870930144
Zn_6,0.08229973345378179
Cu_1,0.0036346397810214045
Cu_2,0.006045041112845052
Cu_3,0.011150415108596974
Cu_4,0.014662838649902341
Cu_5,0.019007414159331992
Cu_6,0.02509780949451479
Pb_1,-0.0003032773903674302
Pb_2,0.005667329815301377
Pb_3,0.006857044336579367
Pb_4,0.017587546886579538
Pb_5,0.02567168401349295
Pb_6,0.037322669813524695
