,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,LB__LBexp,2.9230359826666668,0.721654812847604,3.0,0.0,2.0992261462,1.0,3.226365195,2.0,3.4435166068,,,,,,,,,,
1,LB__LBtran,3.386657381833333,1.4096119838265342,3.0,3.0,4.8415542697,4.0,2.027178694,5.0,3.2912391818,,,,,,,,,,
2,LB__LBstat,3.2666258465999998,0.31330253691118815,3.0,6.0,3.0251059556,7.0,3.1541271667,8.0,3.6206444175,,,,,,,,,,
3,LB__LBGexp,1.0856745023666667,0.22481030906490013,3.0,9.0,0.8747659418,10.0,1.0600644497,11.0,1.3221931156,,,,,,,,,,
4,LB__LBGtran,4.15599140395,0.9365400543023371,2.0,12.0,4.8182252272,13.0,3.4937575807,,,,,,,,,,,,
5,LB__LBGstat,3.7284318571666666,1.6168587007882054,3.0,14.0,2.0085025457,15.0,3.9594176333,16.0,5.2173753925,,,,,,,,,,
6,Life Cycle__S0,0.35178303456666665,1.371712469552958,3.0,17.0,-1.2267179539,18.0,1.0276930189,19.0,1.2543740387,,,,,,,,,,
7,Life Cycle__S1,0.6986705870666666,0.31752481714613817,3.0,20.0,0.3342458669,21.0,0.8459834199,22.0,0.9157824744,,,,,,,,,,
8,Life Cycle__S2,-0.41925029906666667,0.4840500556116528,3.0,23.0,0.1335869896,24.0,-0.7669616887,25.0,-0.6243761981,,,,,,,,,,
9,Life Cycle__S3,-1.1230171534000002,0.0881072219325299,2.0,26.0,-1.0607159393,27.0,-1.1853183675,,,,,,,,,,,,
10,Life Cycle__S4,0.5461288614,0.9825939194041537,3.0,28.0,-0.33660849130000003,29.0,0.3701873361,30.0,1.6048077394,,,,,,,,,,
11,Life Cycle__S5,10.465834091966666,1.62900169011665,3.0,31.0,9.0231060894,32.0,12.2324485127,33.0,10.1419476738,,,,,,,,,,
12,Life Cycle__S6,41.929369011287505,7.338852422997012,8.0,34.0,46.6518305928,35.0,52.6669880898,36.0,45.2742361448,37.0,44.6025863597,38.0,45.2263950195,39.0,34.098925673,40.0,35.0895525518,41.0,31.8244376589
13,Life Cycle__S7,29.2785190985,2.4234130702826584,3.0,42.0,30.5527221394,43.0,30.7990171394,44.0,26.4838180167,,,,,,,,,,
14,Life Cycle__S8,29.8554012249,0.5711213650395732,2.0,45.0,30.259245015,46.0,29.4515574348,,,,,,,,,,,,
15,Life Cycle__G135,3.26195727825,0.28307042383913156,2.0,47.0,3.061796262,48.0,3.4621182945,,,,,,,,,,,,
16,Life Cycle__G150,3.9430273941666667,0.2009790006968048,3.0,49.0,3.9673765659,50.0,4.1307225086,51.0,3.730983108,,,,,,,,,,
17,Life Cycle__G180,3.36782435,0.40476387823502324,3.0,52.0,2.9020222681,53.0,3.5674821586,54.0,3.6339686233,,,,,,,,,,
18,Stress Time Course__C30,2.7438570914,0.1312586521151097,2.0,55.0,2.8366709744,56.0,2.6510432084,,,,,,,,,,,,
19,Stress Time Course__C90,5.3762901808,0.6003544590360896,2.0,57.0,5.8008048899,58.0,4.9517754716999995,,,,,,,,,,,,
20,Biofilm__BI,4.14309891455,0.22574174494854424,2.0,59.0,4.3027224332,60.0,3.9834753959,,,,,,,,,,,,
21,Biofilm__BC,4.280032565725,1.0833076855428017,4.0,61.0,2.6783883814,62.0,4.6056150786,63.0,4.7853383772,64.0,5.0507884257,,,,,,,,
22,Biofilm__Sw,4.9006155107,1.2803546469753808,2.0,65.0,5.8059629639,66.0,3.9952680575,,,,,,,,,,,,
23,Life Cycle__BT,17.23620170615,0.22580784076496788,2.0,67.0,17.0765314507,68.0,17.3958719616,,,,,,,,,,,,
24,Life Cycle__B36,6.05682979825,0.00021795951347172599,2.0,69.0,6.0569839189,70.0,6.0566756776,,,,,,,,,,,,
25,Life Cycle__B60,1.9473279361999998,0.9291113038084081,2.0,71.0,2.6043088396,72.0,1.2903470328,,,,,,,,,,,,
26,M9__M9exp,0.0,0.3338177787771927,3.0,73.0,-0.3530517019,74.0,0.0425475644,75.0,0.3105041375,,,,,,,,,,
27,M9__M9tran,1.9841755197000002,0.27480259040627375,3.0,76.0,2.2900928218,77.0,1.7582277126,78.0,1.9042060247,,,,,,,,,,
28,M9__M9stat,6.025559936766666,0.3922950896439035,3.0,79.0,5.6405222994,80.0,6.4247305174000005,81.0,6.0114269935,,,,,,,,,,
29,Supplement__M+G,1.313158976033333,0.5106908518220483,3.0,82.0,1.9026215425,83.0,1.0040903923,84.0,1.0327649933,,,,,,,,,,
30,Supplement__Glu,1.8746326603333336,0.34235123039071536,3.0,85.0,2.0411438879,86.0,2.1018764399,87.0,1.4808776532,,,,,,,,,,
31,Supplement__Fru,2.1117469881666664,0.5124141402756808,3.0,88.0,2.7033920254,89.0,1.8218711991,90.0,1.80997774,,,,,,,,,,
32,Supplement__Mal,1.5197035684333333,0.4117716413467445,3.0,91.0,1.9712264475,92.0,1.422981665,93.0,1.1649025928,,,,,,,,,,
33,Supplement__G+S,6.1138367197,1.889107076527374,2.0,94.0,4.7780362955,95.0,7.4496371439,,,,,,,,,,,,
34,Supplement__Pyr,4.817817022866667,2.066633205760241,3.0,96.0,2.4347228846,97.0,5.9015700603,98.0,6.1171581237,,,,,,,,,,
35,Supplement__Gly,0.9770395709666667,1.233875648018135,3.0,99.0,0.4985931489,100.0,0.054038242300000004,101.0,2.3784873216999998,,,,,,,,,,
36,Supplement__Glucon,3.1027779987,1.0416136325511407,3.0,102.0,3.3684911935,103.0,1.9540442762999999,104.0,3.9857985263,,,,,,,,,,
37,Stressors__aero,1.491186812466667,1.1468139310260905,3.0,105.0,2.7581168679,106.0,1.1914108142,107.0,0.5240327553,,,,,,,,,,
38,Stressors__nit,4.5706038308,2.965657893587717,3.0,108.0,7.9919418206,109.0,2.7335959604,110.0,2.9862737114,,,,,,,,,,
39,Stressors__ferm,4.128327250866667,2.8997801643295817,3.0,111.0,7.4762883828,112.0,2.5000872111,113.0,2.4086061587,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,1.3250007688,,1.0,114.0,1.3250007688,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,1.9526649868,,1.0,115.0,1.9526649868,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,1.794331227,,1.0,116.0,1.794331227,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,1.7562815542,,1.0,117.0,1.7562815542,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,1.7614691714,,1.0,118.0,1.7614691714,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,1.2814532606,,1.0,119.0,1.2814532606,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,0.5667733764,,1.0,120.0,0.5667733764,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,-0.098658405,,1.0,121.0,-0.098658405,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,-0.7242173464,,1.0,122.0,-0.7242173464,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,-0.6114898399,,1.0,123.0,-0.6114898399,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,1.320120894,,1.0,124.0,1.320120894,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,2.7354560449000003,,1.0,125.0,2.7354560449000003,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,-0.4957678666,,1.0,126.0,-0.4957678666,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,0.1970496129,,1.0,127.0,0.1970496129,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,0.7587465539,,1.0,128.0,0.7587465539,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,-0.015488997000000001,,1.0,129.0,-0.015488997000000001,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,2.0052682876,,1.0,130.0,2.0052682876,,,,,,,,,,,,,,
57,Stressors__HPh,0.8107967024333335,0.1279304689382145,3.0,131.0,0.8899445595000001,132.0,0.8792409086,133.0,0.6632046392000001,,,,,,,,,,
