,-0.11617458252631578,-0.10326629557894736,-0.09035800863157893,-0.0774497216842105,-0.06454143473684208,-0.05163314778947366,-0.03872486084210523,-0.025816573894736808,-0.012908286947368383,4.163336342344337e-17,0.012908286947368466,0.02581657389473689,0.038724860842105316,0.05163314778947374,0.06454143473684217,0.07744972168421059,0.09035800863157901,0.10326629557894744,0.11617458252631586,0.1290828694736843
thresh,-0.122628726,0.122628726,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,2,7,24,124,1007,2207,723,125,60,11,1,1,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
