,serU
Cr_1,0.004295069662442704
Cr_2,0.004102987244202197
Cr_3,-0.004733624435633383
Cr_4,-0.01252444293837871
Cr_5,-0.012853670094890112
Cr_6,-0.01908764870171189
Fe_1,-0.017616556726911557
Fe_2,-0.032698474982439815
Fe_3,-0.04165580717020138
Fe_4,-0.0497326647655924
Fe_5,-0.07143389078418069
Fe_6,-0.09777100220398048
Cd_1,0.00013096119594198892
Cd_2,0.0005484547265461637
Cd_3,0.002461075328287166
Cd_4,0.0034531994575564924
Cd_5,0.0013278106080738387
Cd_6,0.0007781779334664039
Zn_1,-0.017366826110935464
Zn_2,-0.0317597561535873
Zn_3,-0.04236338709987075
Zn_4,-0.04750132731779578
Zn_5,-0.05177877420896238
Zn_6,-0.05681108385835373
Cu_1,0.003510113831087675
Cu_2,0.005071915872179832
Cu_3,0.005043265781554096
Cu_4,0.0028395224587789837
Cu_5,0.004457233496749502
Cu_6,0.005051023838499595
Pb_1,0.00024502244062000485
Pb_2,0.0017708773904423106
Pb_3,0.0016926856300386668
Pb_4,-0.0017659506844148474
Pb_5,-0.007059551755524756
Pb_6,-0.012605933521355271
