,A,NikR
R2,,0.04194835942413255
xmin,,2.9718505869
xmid,,5.463170243118689
xmax,,8.121052179
ystart,,3.2647638183310237
yend,,8.551065814152711
control__wt_glc__1,0.2880121227,5.4483788196
control__wt_glc__2,-0.2880121227,4.7630404961
fur__wt_dpd__1,1.5870896972000001,5.8956268305
fur__wt_dpd__2,1.5815278944,5.4820960195
fur__wt_fe__1,1.4232966063,5.6143094874
fur__wt_fe__2,1.2349702253000001,5.6224713469
fur__delfur_dpd__1,1.7561868728,5.713572741
fur__delfur_dpd__2,2.1008098133,5.3647406181
fur__delfur_fe2__1,0.8202406498,5.9979330314
fur__delfur_fe2__2,0.7986306999,5.8637293406
acid__wt_ph5__1,0.4089072857,5.6218454102
acid__wt_ph5__2,0.7466886203,5.9140620501
acid__delgadx_ph5__1,0.6507517367,5.491591973
acid__delgadx_ph5__2,0.1287228719,5.4138621119
acid__delgadw_ph5__1,-0.7356592647,5.5227704515
acid__delgadw_ph5__2,0.9294282451,5.4442793642
acid__delgade_ph5__1,0.8025932422000001,5.4354241374
acid__delgade_ph5__2,1.4506722624,5.6024712387
oxidative__wt_pq__1,-0.9297693931000001,4.5090893377
oxidative__wt_pq__2,-2.0100538483,4.3954188788
oxidative__deloxyr_pq__1,-1.573922171,4.9106196974
oxidative__deloxyr_pq__2,-1.3355322151,5.3125378335
oxidative__delsoxr_pq__1,-1.5947039834,4.4535215641
oxidative__delsoxr_pq__2,-1.2591772947,4.9440539050000005
oxidative__delsoxs_pq__1,-1.2954085503,4.8553421488
oxidative__delsoxs_pq__2,-0.8995857339000001,4.6052640262
nac_ntrc__wt_csn__1,-0.8869106153,6.0742359027
nac_ntrc__wt_csn__2,-0.2021191511,5.896551612
nac_ntrc__wt_cytd__1,-0.0614063441,5.9297089331
nac_ntrc__wt_cytd__2,-1.5430198125999999,5.392118984
nac_ntrc__wt_gln__1,-1.026611261,6.0922961069
nac_ntrc__wt_gln__2,-0.5760631118,5.6770243788
nac_ntrc__bw_delnac_csn__1,2.2644445706,5.7124808533
nac_ntrc__bw_delnac_csn__2,2.0348713535,6.498521661
nac_ntrc__bw_delnac_cytd__1,0.7668443583,5.5935778603
nac_ntrc__bw_delnac_cytd__2,0.021766984,5.6386000338999995
nac_ntrc__bw_delnac_gln__1,0.1662302129,5.5781023268
nac_ntrc__bw_delnac_gln__2,-0.48551800370000003,5.5491660092
nac_ntrc__bw_delnac_nh4__1,3.19065386,5.1268054026
nac_ntrc__bw_delnac_nh4__2,3.6706680071,5.7980104925
misc__wt_no_te__1,-1.2746393963,5.365903029
misc__wt_no_te__2,0.9153909227,4.9255500653
misc__bw_delcbl__1,1.7351176920000002,5.7651067113
misc__bw_delcbl__2,2.2081238527,5.6728265882999995
misc__bw_delfabr__1,4.3805054766,5.6032267212
misc__bw_delfabr__2,3.1454590462,5.6417225514
misc__bw_delfadr__1,2.3924594615,5.3720206776
misc__bw_delfadr__2,3.4422470616,5.4138630331
misc__nitr_031__1,2.3157451888000002,5.2895930859
omics__wt_glu__1,4.9498749884,6.4779985368
omics__wt_glu__2,4.2651030224,6.6472867591
omics__wt_gly__1,6.581005634,6.3500415407
omics__wt_gly__2,6.5001086604000005,6.1988507581
omics__wt_thr__1,6.6600665195,6.6442702029
omics__wt_thr__2,6.2698396012,6.4783451332
omics__bw_ac__1,0.8502392472,5.5020127802
omics__bw_ac__2,0.9876589243,5.5626503254
omics__bw_fum__1,2.4411752898,5.821494431
omics__bw_fum__2,2.7958038786,5.829761587
omics__bw_glc__1,0.7701987278,6.1704598454
omics__bw_glc__2,1.0722101521,6.1297476679
omics__bw_pyr__1,1.2658012858,6.0995137495
omics__bw_pyr__2,1.5140220962000002,5.9001546014
ompr__wt_nacl__1,0.0658168325,3.3745747786
ompr__wt_nacl__2,-0.7341731365,3.7949076777
ompr__bw_delompr_nacl__1,-0.534765106,2.9718505869
ompr__bw_delompr_nacl__2,0.38296813630000004,3.8048133836
minspan__wt_ade__1,1.277981928,3.300621656
minspan__wt_glc__1,2.8696251787,5.0159645366
minspan__wt_glc__2,6.0506314236,4.5786506669
minspan__wt_glc__3,6.0691024808,4.7507397139
minspan__wt_glc__4,3.4272206163,4.6144255575
minspan__wt_glc_anaero__1,14.9807283669,6.5398249556
minspan__wt_glc_anaero__2,15.7058343453,7.4282018897
minspan__wt_trp__1,15.2370456557,6.3847526771
