,-0.09532689252399999,-0.07149516939299999,-0.04766344626199999,-0.023831723130999988,1.3877787807814457e-17,0.023831723131000015,0.04766344626200002,0.071495169393,0.09532689252400002,0.11915861565500004,0.14299033878600004,0.166822061917,0.190653785048,0.21448550817900003,0.23831723131,0.262148954441,0.285980677572,0.30981240070300003,0.33364412383400005,0.357475846965
thresh,-0.10724275408949999,0.10724275408949999,2,,,,,,,,,,,,,,,,,
unreg,1,4,29,451,2994,400,34,2,1,1,0,0,0,0,0,0,0,0,0,0
NikR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['yafC'],[],[],[],[],[],[],[],[],[],[]
NikR_genes,[],[],[],[],[],['nikR'],[],[],[],[],[],[],[],[],['nikE' 'nikC'],['nikD'],['nikB'],['nikA'],[],[]
