,b3423_1
control__wt_glc__1,4.6917213417
control__wt_glc__2,4.0758263818
fur__wt_dpd__1,1.0056583012
fur__wt_dpd__2,1.6328631269
fur__wt_fe__1,4.574956939
fur__wt_fe__2,4.5974872262
fur__delfur_dpd__1,1.5806467456000002
fur__delfur_dpd__2,1.5029490603
fur__delfur_fe2__1,4.6090149794
fur__delfur_fe2__2,4.5407180555
acid__wt_ph5__1,1.6213760215000002
acid__wt_ph5__2,1.5988388668
acid__delgadx_ph5__1,1.8993440769
acid__delgadx_ph5__2,3.1295938187
acid__delgadw_ph5__1,1.0123686888
acid__delgadw_ph5__2,1.8640739536000002
acid__delgade_ph5__1,3.4690443999
acid__delgade_ph5__2,1.6906818945
oxidative__wt_pq__1,0.0
oxidative__wt_pq__2,1.2677423602
oxidative__deloxyr_pq__1,0.0
oxidative__deloxyr_pq__2,1.1671683003
oxidative__delsoxr_pq__1,0.0
oxidative__delsoxr_pq__2,0.0
oxidative__delsoxs_pq__1,0.0
oxidative__delsoxs_pq__2,1.6212404045
nac_ntrc__wt_csn__1,2.2064792539
nac_ntrc__wt_csn__2,1.5277583246000002
nac_ntrc__wt_cytd__1,2.2525042901
nac_ntrc__wt_cytd__2,4.1739799624
nac_ntrc__wt_gln__1,2.686406049
nac_ntrc__wt_gln__2,4.6158377171
nac_ntrc__bw_delnac_csn__1,0.0
nac_ntrc__bw_delnac_csn__2,1.178019479
nac_ntrc__bw_delnac_cytd__1,1.7769493232
nac_ntrc__bw_delnac_cytd__2,0.0
nac_ntrc__bw_delnac_gln__1,0.0
nac_ntrc__bw_delnac_gln__2,0.0
nac_ntrc__bw_delnac_nh4__1,0.0
nac_ntrc__bw_delnac_nh4__2,1.9276278491
misc__wt_no_te__1,1.293499356
misc__wt_no_te__2,1.6964979562
misc__bw_delcbl__1,1.2863722777
misc__bw_delcbl__2,2.2040186075
misc__bw_delfabr__1,0.0
misc__bw_delfabr__2,0.0
misc__bw_delfadr__1,0.0
misc__bw_delfadr__2,1.5603753907
misc__nitr_031__1,0.0
omics__wt_glu__1,0.0
omics__wt_glu__2,0.0
omics__wt_gly__1,1.7610132521000001
omics__wt_gly__2,2.1957074613
omics__wt_thr__1,1.7997689170000002
omics__wt_thr__2,1.5861542899
omics__bw_ac__1,3.9804732942000003
omics__bw_ac__2,4.7019883181
omics__bw_fum__1,3.7209087583000002
omics__bw_fum__2,4.0855894456
omics__bw_glc__1,4.8337485656
omics__bw_glc__2,4.2178935475
omics__bw_pyr__1,4.8586520764
omics__bw_pyr__2,3.182410981
ompr__wt_nacl__1,1.4154622652
ompr__wt_nacl__2,0.0
ompr__bw_delompr_nacl__1,2.2184441322
