,A,srlR
R2,,0.40113747502626984
xmin,,4.65015935080452
xmid,,7.1505686793467005
xmax,,8.85542112973837
ystart,,0.29103217784152946
yend,,23.029648818107134
control__wt_glc__1,-0.215151031868,5.397248420645651
control__wt_glc__2,0.215151031868,5.448015177508191
fur__wt_dpd__1,-2.9578833976700003,5.588828830877769
fur__wt_dpd__2,-3.7511807237699997,5.5935600037261795
fur__wt_fe__1,0.032262349121,5.22363533056328
fur__wt_fe__2,0.134996660726,5.37408177975618
fur__delfur_dpd__1,-4.741009759780001,5.03608045490605
fur__delfur_dpd__2,-5.30745137083,5.3073050580763494
fur__delfur_fe2__1,0.478755608095,5.54835322987803
fur__delfur_fe2__2,0.262666072907,5.271046591598191
acid__wt_ph5__1,-0.371676406472,5.38073435600815
acid__wt_ph5__2,-1.7956392017299998,5.36196668940046
acid__delgadx_ph5__1,-1.2535196505700001,5.354014483329969
acid__delgadx_ph5__2,-1.57159019081,5.57958406229977
acid__delgadw_ph5__1,-0.629133716402,5.64252522936187
acid__delgadw_ph5__2,-1.1643891716099999,5.491362147931429
acid__delgade_ph5__1,-0.901743460871,5.490724837434
acid__delgade_ph5__2,-0.795867113231,5.507704662057639
oxidative__wt_pq__1,0.115639929207,5.37811512848843
oxidative__wt_pq__2,1.1534040322799999,5.443504237422251
oxidative__deloxyr_pq__1,-1.02827945217,5.63762783877497
oxidative__deloxyr_pq__2,-0.6821255571439999,5.67238496006823
oxidative__delsoxr_pq__1,-1.23186511291,5.387788253781039
oxidative__delsoxr_pq__2,-1.99088137896,5.558835949547981
oxidative__delsoxs_pq__1,-0.534273315106,5.739598958055231
oxidative__delsoxs_pq__2,-1.15158290771,5.507852269447451
nac_ntrc__wt_csn__1,-3.9836330616900004,5.26059146919496
nac_ntrc__wt_csn__2,-3.21695254739,5.22220467076193
nac_ntrc__wt_cytd__1,-2.6883792932099997,5.605348469541191
nac_ntrc__wt_cytd__2,-2.9867496165400005,5.561722219122291
nac_ntrc__wt_gln__1,-2.93328662559,5.73979385764693
nac_ntrc__wt_gln__2,-2.37740459622,5.339119886227031
nac_ntrc__bw_delnac_csn__1,-2.93803506787,4.866379887913549
nac_ntrc__bw_delnac_csn__2,-1.40217405958,4.65015935080452
nac_ntrc__bw_delnac_cytd__1,-1.16506947169,5.16963442241854
nac_ntrc__bw_delnac_cytd__2,-1.13495049741,5.350263961328539
nac_ntrc__bw_delnac_gln__1,-3.3199137057300003,5.38996127537673
nac_ntrc__bw_delnac_gln__2,-1.4237903416799997,5.464294324770401
nac_ntrc__bw_delnac_nh4__1,-0.286152466955,5.40542487312376
nac_ntrc__bw_delnac_nh4__2,0.802500420406,5.232958698229901
misc__wt_no_te__1,1.6203048006999998,4.9789914464504506
misc__wt_no_te__2,1.05234669622,5.3636147447597
misc__bw_delcbl__1,0.79784205553,5.59656590854972
misc__bw_delcbl__2,0.588107645167,5.747324441718019
misc__bw_delfabr__1,0.8374504348649999,5.37443688093408
misc__bw_delfabr__2,0.682767848962,5.529579658923169
misc__bw_delfadr__1,0.6137678652440001,5.46976913480941
misc__bw_delfadr__2,-0.238123390018,5.16758352869907
misc__nitr_031__1,-1.35426034475,5.5528700378618705
omics__wt_glu__1,1.08940176704,6.18464070436387
omics__wt_glu__2,1.6414104329299999,5.982494158599059
omics__wt_gly__1,0.46613462586300003,5.1665346634311105
omics__wt_gly__2,1.5538877231400001,5.23832500559638
omics__wt_thr__1,2.5948197991799997,7.71009903565887
omics__wt_thr__2,2.47789659335,7.54921963479556
omics__bw_ac__1,1.5051965591,6.071578913251719
omics__bw_ac__2,0.449006300675,5.94936117505751
omics__bw_fum__1,0.647591886836,5.6684428336672
omics__bw_fum__2,0.56099509016,5.511638869122031
omics__bw_glc__1,-0.789460754818,5.311830252781911
omics__bw_glc__2,-0.640875956147,5.32404161727296
omics__bw_pyr__1,0.331260661823,5.61763991969929
omics__bw_pyr__2,-0.0680027131142,5.36783116718017
ompr__wt_nacl__1,-3.87473598311,4.871100609454389
ompr__wt_nacl__2,-4.858041765109999,5.120123551957731
ompr__bw_delompr_nacl__1,-5.328142177519999,5.091888031840099
ompr__bw_delompr_nacl__2,-4.797934155169999,5.4763606983841395
