,yedP
Cr_1,-0.015701890443843996
Cr_2,-0.02011780288520827
Cr_3,-0.01796057141243713
Cr_4,-0.01092626870657
Cr_5,-0.0004297239506526346
Cr_6,0.007271249433208544
Fe_1,-0.018742580334162744
Fe_2,-0.04585498649742771
Fe_3,-0.08677303723058083
Fe_4,-0.13813232295287362
Fe_5,-0.18817441318831649
Fe_6,-0.23257511201049244
Cd_1,0.002366350880365723
Cd_2,0.006547727213919654
Cd_3,0.012081425416533276
Cd_4,0.01903157484020557
Cd_5,0.021566665712309443
Cd_6,0.02720457374319481
Zn_1,-0.010767908301263404
Zn_2,-0.03548788864514449
Zn_3,-0.050554048498261374
Zn_4,-0.05906761922779121
Zn_5,-0.06723954286927414
Zn_6,-0.07428117747187447
Cu_1,0.00426759880014136
Cu_2,0.012034695978459698
Cu_3,0.016049989938771894
Cu_4,0.017031665988637534
Cu_5,0.024859352776155492
Cu_6,0.028934399798302892
Pb_1,0.0047556434299476135
Pb_2,0.009541758641969577
Pb_3,0.01895087024027345
Pb_4,0.028070355269053868
Pb_5,0.041952316576953586
Pb_6,0.055708346964985986
