,chaC
Cr_1,0.008646907369088602
Cr_2,0.013177125835736823
Cr_3,0.02492629205317917
Cr_4,0.03515761003651883
Cr_5,0.043385457179568085
Cr_6,0.04162390348094702
Fe_1,0.03621023770612139
Fe_2,0.06869184878275561
Fe_3,0.11443830547106595
Fe_4,0.15926317490055286
Fe_5,0.20572825436594688
Fe_6,0.2434996156629799
Cd_1,0.010346363584016086
Cd_2,0.015082454190895815
Cd_3,0.023455214643559995
Cd_4,0.030610835467942733
Cd_5,0.02613911696941983
Cd_6,0.029816403376492592
Zn_1,-0.009187326631403056
Zn_2,-0.01641926657069949
Zn_3,-0.021703913644290626
Zn_4,-0.025649596820817046
Zn_5,-0.03020801477960485
Zn_6,-0.03470108110328388
Cu_1,0.0073658582714011015
Cu_2,0.0147456872217823
Cu_3,0.023234283510404345
Cu_4,0.031162631043649018
Cu_5,0.037530221068812215
Cu_6,0.04484521368445429
Pb_1,0.003196761818209577
Pb_2,0.011412912754240256
Pb_3,0.012799848107606836
Pb_4,0.016811410029186576
Pb_5,0.02879441073133297
Pb_6,0.04074266539633811
