,ygeQ
Cr_1,0.007703415644885822
Cr_2,0.008949273099437067
Cr_3,0.023289323944832182
Cr_4,0.03489916139907835
Cr_5,0.057748705267473124
Cr_6,0.07320514491783514
Fe_1,-0.03119200585291777
Fe_2,-0.0833122222289317
Fe_3,-0.1048917268901899
Fe_4,-0.13134677668932054
Fe_5,-0.1305024693804057
Fe_6,-0.12723798768787828
Cd_1,0.010268026575399264
Cd_2,0.02315468342533197
Cd_3,0.02902180763000872
Cd_4,0.030304235331483437
Cd_5,0.028090190498321604
Cd_6,0.02693157696024221
Zn_1,-0.008520815227071226
Zn_2,-0.02204002353644544
Zn_3,-0.012422963976808551
Zn_4,-0.022515758613078272
Zn_5,-0.0016235559198360448
Zn_6,0.038193950259547166
Cu_1,0.0027594519688892397
Cu_2,0.002428750014716965
Cu_3,0.00694677724632431
Cu_4,0.011039077608621488
Cu_5,0.018848087540955624
Cu_6,0.019739332836106228
Pb_1,0.0039012246176618882
Pb_2,0.01060657932789506
Pb_3,0.019095215977085724
Pb_4,0.030108818257789688
Pb_5,0.025115638106608856
Pb_6,0.02375246850672451
