,ykgM
Cr_1,0.004392539285523685
Cr_2,0.010509808861099606
Cr_3,0.017464229601298332
Cr_4,0.02336376340333468
Cr_5,0.03157306385557472
Cr_6,0.0351462227998741
Fe_1,0.016221012128374148
Fe_2,0.032035251850478716
Fe_3,0.05878261676412928
Fe_4,0.08685238412355648
Fe_5,0.10934035304243153
Fe_6,0.12512854190011208
Cd_1,0.054529518725473486
Cd_2,0.09889954369563836
Cd_3,0.1350362091359437
Cd_4,0.15742351765403514
Cd_5,0.1677356739327895
Cd_6,0.16890479525995444
Zn_1,0.006782740745405808
Zn_2,-0.0005252594248649697
Zn_3,-0.01854525471106121
Zn_4,-0.04915063929783324
Zn_5,-0.09336529660161932
Zn_6,-0.1462986699268369
Cu_1,0.07622099832744167
Cu_2,0.12777595483974033
Cu_3,0.14794460388649566
Cu_4,0.14760373296466575
Cu_5,0.13961117096087206
Cu_6,0.1299884658105526
Pb_1,0.06330251395606952
Pb_2,0.11972311560737565
Pb_3,0.16125711237498436
Pb_4,0.1891690743573801
Pb_5,0.1995422651241012
Pb_6,0.19973838524452314
