,ydiM
Cr_1,-0.0017225868234572608
Cr_2,0.0012009806121059288
Cr_3,0.010950036429310979
Cr_4,0.01726541250390013
Cr_5,0.023617452950466272
Cr_6,0.02629487773028078
Fe_1,-0.031261054961143404
Fe_2,-0.06677294564028806
Fe_3,-0.10731715890672393
Fe_4,-0.1521980579251259
Fe_5,-0.1785408934113098
Fe_6,-0.19919572469623611
Cd_1,0.0028204017399994737
Cd_2,0.00725851509811961
Cd_3,0.012223877005175231
Cd_4,0.017716575212575355
Cd_5,0.016793048880125304
Cd_6,0.021097942781473717
Zn_1,-0.0051546057682081295
Zn_2,0.037475836814341586
Zn_3,0.07397577699174786
Zn_4,0.11283231462415926
Zn_5,0.13615007778489155
Zn_6,0.13918659224799354
Cu_1,0.0004324262582000697
Cu_2,0.004745040003669284
Cu_3,0.010670083368556023
Cu_4,0.01857059214878857
Cu_5,0.02614490604237694
Cu_6,0.03151018488532875
Pb_1,0.010487200959591162
Pb_2,0.015367726603546088
Pb_3,0.019095171580850268
Pb_4,0.021519760287206226
Pb_5,0.02736829861992133
Pb_6,0.03562823019210387
