,nudB
Cr_1,0.004418262146065905
Cr_2,0.007265369432382392
Cr_3,0.01564163995162384
Cr_4,0.018832372343921714
Cr_5,0.02015572891621481
Cr_6,0.02271973309288093
Fe_1,-0.01287012543040883
Fe_2,-0.031495884982549516
Fe_3,-0.04323438450463631
Fe_4,-0.06333017484257808
Fe_5,-0.08640180864215782
Fe_6,-0.11002767952026336
Cd_1,-0.007752652098640442
Cd_2,-0.005807301439728798
Cd_3,-0.007081126331063125
Cd_4,-0.0028718128404163637
Cd_5,-0.008623149871724725
Cd_6,-0.011566426468670371
Zn_1,0.00305717647862115
Zn_2,0.0360257493855846
Zn_3,0.08108747339822735
Zn_4,0.12784954720229955
Zn_5,0.16370971574340498
Zn_6,0.1913492554876092
Cu_1,0.004028811032727235
Cu_2,0.010828439463851751
Cu_3,0.01877463805976611
Cu_4,0.030233036099933577
Cu_5,0.030633943553304774
Cu_6,0.034574376847173724
Pb_1,0.002045662486084423
Pb_2,0.0053084234355101675
Pb_3,0.012004643127588395
Pb_4,0.02417966863517808
Pb_5,0.033483563292312814
Pb_6,0.04489002971591794
