sample,BSU_misc_RNA_24
LBexp_1,9.8077
LBexp_2,9.4951
LBexp_3,9.3666
LBtran_1,9.7784
LBtran_2,9.7913
LBtran_3,10.095
LBstat_1,10.5575
LBstat_2,10.8674
LBstat_3,10.5104
LBGexp_1,7.8475
LBGexp_2,9.4209
LBGexp_3,9.1168
LBGtran_2,9.2001
LBGtran_3,9.9184
LBGstat_1,8.9546
LBGstat_2,8.6117
LBGstat_3,9.2839
S0_1,9.8396
S0_2,10.162
S0_3,10.0106
S1_1,12.7683
S1_2,12.7351
S1_3,12.9209
S2_1,11.9311
S2_2,12.073
S2_3,11.6204
S3_1,12.1227
S3_2,12.3093
S4_1,12.3053
S4_2,11.8591
S4_3,11.9239
S5_1,11.723
S5_2,11.83
S5_3,12.0077
S6_1,10.8101
S6_2,8.5951
S6_3,11.4224
S6/t_1,11.0089
S6/t_2,8.4497
S6_4,10.3505
S6_5,11.1278
S6_6,11.3424
S7_4,11.0876
S7_5,11.0031
S7_6,10.7495
S8_4,10.6282
S8_5,10.1015
G135_1,8.2319
G135_3,7.8218
G150_1,8.3171
G150_2,8.4849
G150_3,8.2262
G180_1,8.5458
G180_2,9.0347
G180_3,8.3257
C30_1,9.7064
C30_2,9.8645
C90_1,10.955
C90_2,11.1339
BI_1,10.7821
BI_2,10.927
BC_2,11.7921
BC/t_1,12.0832
BC/t_2,12.597
BC_1,11.6041
Sw_1,12.0123
Sw_2,11.6465
BT_1,10.9193
BT_2,10.2733
B36_1,11.0087
B36_2,11.1155
B60_1,11.0072
B60_2,11.2415
M9exp_1,12.5587
M9exp_2,12.0796
M9exp_3,11.8521
M9tran_1,11.7089
M9tran_2,11.6092
M9tran_3,11.9926
M9stat_1,10.5303
M9stat_2,10.2095
M9stat_3,9.9624
M+G_1,11.6075
M+G_2,11.5034
M+G_3,11.5921
Glu_1,12.3485
Glu_2,12.1172
Glu_3,12.3818
Fru_1,12.3521
Fru_2,12.3004
Fru_3,11.9111
Mal_1,11.046
Mal_2,11.4782
Mal_3,11.7165
G+S_2,11.6454
G+S_3,11.7374
Pyr_1,11.4402
Pyr_2,11.9155
Pyr_3,11.6916
Gly_1,10.6946
Gly_2,11.6104
Gly_3,9.9368
Glucon_1,11.4357
Glucon_2,12.0089
Glucon_3,10.7218
aero_1,10.8615
aero_2,10.1825
aero_3,10.8237
nit_1,10.8053
nit_2,10.9623
nit_3,10.3178
ferm_1,10.6367
ferm_2,10.2651
ferm_3,10.9234
T-5.40H_1,12.8665
T-4.40H_1,12.5407
T-3.40H_1,12.4691
T-2.40H_1,12.1442
T-1.40H_1,11.7898
T-1.10H_1,11.695
T-0.40H_1,11.883
T0.0H_1,11.6853
T0.30H_1,10.4109
T1.0H_1,10.6415
T1.30H_1,10.4616
T2.0H_1,10.3211
T2.30H_1,10.9765
T3.0H_1,10.8907
T3.30H_1,11.1666
T4.0H_1,11.0901
T5.0H_1,10.6111
HPh_1,12.1193
HPh_2,11.6921
HPh_3,11.863
LPh_1,11.7099
LPh_2,11.9328
LPh_3,11.429
LPhT_1,11.8001
LPhT_2,11.6725
LPhT_3,11.8285
SMMPr_1,11.5466
SMMPr_2,11.6494
SMMPr_3,11.9119
HiTm_1,11.5141
HiTm_2,11.5022
HiTm_3,12.1813
LoTm_1,12.2903
LoTm_2,12.1974
LoTm_3,12.1973
HiOs_1,13.655
HiOs_2,13.318
HiOs_3,13.5642
BMM_1,12.3658
BMM_2,12.220999999999998
BMM_3,11.8544
Heat_1,12.1418
Heat_2,11.7485
Heat_3,11.704
