,fadB
Cr_1,-0.000280591149095604
Cr_2,0.0006129225204753577
Cr_3,0.00640724948594535
Cr_4,0.014172991677807766
Cr_5,0.019162066990836862
Cr_6,0.026799575172352555
Fe_1,-0.04299640374018456
Fe_2,-0.07832558619255169
Fe_3,-0.09364019750985653
Fe_4,-0.10036602350892997
Fe_5,-0.10342922939619116
Fe_6,-0.0930255194358393
Cd_1,0.007319482999361309
Cd_2,0.012720221334512352
Cd_3,0.02145502778868444
Cd_4,0.025356621558763646
Cd_5,0.028000087646017885
Cd_6,0.022818684253046933
Zn_1,-0.010629116219172022
Zn_2,-0.02137278929748761
Zn_3,-0.03487211883489896
Zn_4,-0.0472769752507357
Zn_5,-0.03805686336158864
Zn_6,-0.03970400997042707
Cu_1,0.01864922736315209
Cu_2,0.0405505066017632
Cu_3,0.0660059610397402
Cu_4,0.08484068138502095
Cu_5,0.10427239959494514
Cu_6,0.1217962364940136
Pb_1,0.008264559294369206
Pb_2,0.019234929588212626
Pb_3,0.03466179790555941
Pb_4,0.04713596857843126
Pb_5,0.05979552501565991
Pb_6,0.0713924802586293
