,ndk
Cr_1,0.0007013435533147861
Cr_2,0.009238514770996764
Cr_3,0.030846071367996976
Cr_4,0.040743115076582
Cr_5,0.04750912237834064
Cr_6,0.05245069238491799
Fe_1,0.03600507328483642
Fe_2,0.15879995763279398
Fe_3,0.31826333955196984
Fe_4,0.4485373922479246
Fe_5,0.5550075981452989
Fe_6,0.5578985444332637
Cd_1,-0.008749873882379477
Cd_2,-0.005641533041773714
Cd_3,0.013482818442155528
Cd_4,0.01812613458471912
Cd_5,0.017154763958050732
Cd_6,0.028410042738140826
Zn_1,-0.005585020876137345
Zn_2,0.011804472022620598
Zn_3,0.03238707186608528
Zn_4,0.061305452003861616
Zn_5,0.07436287308980713
Zn_6,0.07017892976830273
Cu_1,0.014536833949986469
Cu_2,0.038317504723772766
Cu_3,0.05398784780150997
Cu_4,0.0717965966113562
Cu_5,0.09159576810826853
Cu_6,0.11387664088218367
Pb_1,-0.012176854355582656
Pb_2,-0.00824127029385531
Pb_3,0.0021857909846153788
Pb_4,0.013957631544978354
Pb_5,0.03280274299385034
Pb_6,0.053972652601355975
