,-0.0566692774,-0.047224397833333334,-0.037779518266666666,-0.028334638699999998,-0.01888975913333333,-0.009444879566666661,6.938893903907228e-18,0.009444879566666668,0.018889759133333343,0.02833463870000002,0.03777951826666668,0.04722439783333334,0.056669277400000016,0.0661141569666667,0.07555903653333335,0.08500391610000002,0.0944487956666667,0.10389367523333337,0.11333855480000005,0.1227834343666667
thresh,-0.04250195805,0.04250195805,1,,,,,,,,,,,,,,,,,
unreg,3,2,9,52,360,1669,2267,979,318,112,58,33,27,8,4,3,2,0,0,0
unreg_genes,['PSPTO_RS02635' 'PSPTO_3419' 'PSPTO_0097'],['PSPTO_0320' 'PSPTO_0269'],[],[],[],[],[],[],[],[],[],"['PSPTO_5582' 'PSPTO_2887' 'PSPTO_1229' 'PSPTO_4702' 'PSPTO_RS15510'
 'PSPTOB0017' 'PSPTO_4661' 'PSPTO_3167' 'PSPTO_RS06490' 'PSPTO_4580'
 'PSPTO_RS16645' 'PSPTO_5564' 'PSPTO_0928' 'PSPTO_4152' 'PSPTO_RS08865'
 'PSPTO_1188' 'PSPTO_1221' 'PSPTO_3820' 'PSPTO_1310' 'PSPTO_3731' 'ruvC'
 'PSPTO_0137' 'PSPTO_RS23455' 'hopE1' 'PSPTO_0844' 'PSPTO_2515'
 'PSPTO_5645' 'PSPTO_1786' 'PSPTO_5440' 'PSPTO_RS12425' 'PSPTO_0834'
 'PSPTO_3337' 'PSPTO_2318']","['PSPTO_2836' 'PSPTO_0780' 'PSPTO_4596' 'PSPTO_4253' 'PSPTO_4971'
 'PSPTO_2010' 'PSPTO_3963' 'lptC' 'PSPTO_2432' 'PSPTO_0903' 'PSPTO_1417'
 'PSPTO_0902' 'PSPTO_3208' 'PSPTO_2328' 'PSPTO_RS11010' 'PSPTO_2234'
 'PSPTO_4347' 'PSPTO_1315' 'PSPTO_2390' 'PSPTO_2324' 'PSPTO_2057'
 'PSPTO_2541' 'PSPTO_RS05590' 'PSPTO_RS16710' 'PSPTO_2457' 'PSPTO_4643'
 'PSPTO_5428']","['PSPTO_4883' 'PSPTO_RS27995' 'PSPTO_RS01570' 'PSPTO_RS28005' 'PSPTO_2458'
 'PSPTO_RS26910' 'PSPTO_RS07630' 'PSPTO_2083']",['PSPTO_4754' 'PSPTO_5209' 'PSPTO_RS28000' 'sodB'],['PSPTO_RS16650' 'PSPTO_RS11625' 'PSPTO_RS16620'],['PSPTO_0142' 'PSPTO_RS30005'],[],[],[]
