,Value,list
TF,narL,
reg_genes,118,"['ydhY' 'ydhW' 'nuoE' 'ogt' 'dmsA' 'yeaR' 'moeB' 'frdD' 'aspA' 'caiF'
 'nikC' 'hybB' 'cydD' 'nuoN' 'hyaE' 'ydhT' 'fumB' 'dcuB' 'nuoB' 'ydhX'
 'hyaD' 'nikB' 'citB' 'dcuS' 'ydhU' 'hcr' 'pflB' 'norV' 'frdC' 'ytfE'
 'cysG' 'frdB' 'fdhF' 'ompW' 'citA' 'ynfE' 'nuoK' 'hyaC' 'nikE' 'nuoJ'
 'fdnG' 'nikD' 'hybO' 'dcuR' 'fdnH' 'ccmB' 'citC' 'hyaB' 'hcp' 'nuoM'
 'nikR' 'ydeP' 'dmsD' 'nuoL' 'nuoH' 'nuoC' 'poxB' 'nuoI' 'ubiC' 'torC'
 'torD' 'torA' 'yoaG' 'nrfE' 'hyaF' 'nrfG' 'hybF' 'hybD' 'ynfF' 'ydhV'
 'norW' 'citF' 'hyaA' 'cydC' 'hybC' 'ynfH' 'ubiA' 'hybE' 'frdA' 'fdnI'
 'nuoA' 'focA' 'moeA' 'adhE' 'hybG' 'dcuA' 'ccmH' 'nuoG' 'nuoF' 'ynfG'
 'hybA']"
comp_genes,29,['yehD' 'ykgO']
both_genes,27,"['napH' 'napA' 'nikA' 'napD' 'dsbE' 'narI' 'napB' 'narK' 'napC' 'napF'
 'dmsC' 'napG' 'ccmE' 'ccmA' 'ccmC' 'narG' 'ccmF' 'nrfA' 'nrfD' 'nrfB'
 'narJ' 'nrfC' 'narH' 'nirB' 'nirD' 'dmsB' 'nirC']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,34,
comp_ops,9,
both_ops,7,
