,ybgQ
Cr_1,0.0020609162303758945
Cr_2,0.010785695688503558
Cr_3,0.03411073603051207
Cr_4,0.0634439700283383
Cr_5,0.08465722551173313
Cr_6,0.11748512241402365
Fe_1,0.0031749434288729675
Fe_2,0.02189230883106721
Fe_3,0.04609487029333225
Fe_4,0.05756320309716002
Fe_5,0.049690054132457334
Fe_6,0.044365557080649085
Cd_1,-0.0050646918705567435
Cd_2,-0.016628449485769803
Cd_3,-0.020417732755164685
Cd_4,-0.021405809039534183
Cd_5,-0.02171195662568236
Cd_6,-0.024436275784126087
Zn_1,0.02129280355778321
Zn_2,0.0012503868323518405
Zn_3,-0.07480798799583399
Zn_4,-0.11432343704484617
Zn_5,-0.1374168790629754
Zn_6,-0.1509020001048031
Cu_1,0.0011721018229873714
Cu_2,0.004826730459433821
Cu_3,0.017393632558553848
Cu_4,0.025895123819083675
Cu_5,0.041612931607091896
Cu_6,0.04168199905754676
Pb_1,-0.00023744970701984922
Pb_2,0.010117331454110664
Pb_3,0.022622017129847863
Pb_4,0.02343188202967035
Pb_5,0.029288880935824293
Pb_6,0.043071592758301885
