,A,GlpP
M9stat_2,-3.2184623912,0.3901666667
M9stat_3,-3.00108854,0.0922666667
M+G_1,-0.9266543127,-0.7013333333
M+G_2,-0.1424196233,-0.2011333333
M+G_3,-0.8215915339000001,-0.4022333333
Glu_1,1.4550457919,0.2593666667
Glu_2,2.1089517018,0.4071666667
Glu_3,1.4495492460000001,0.42106666670000004
Fru_1,1.8477973193000001,0.7783666667
Fru_2,4.2352814534,1.2902666667
Fru_3,3.6222099814,0.3451666667
Mal_1,6.5078427596,0.057566666700000005
Mal_2,3.8257903376,0.35906666670000004
Mal_3,5.3274493286,0.37466666670000004
G+S_2,5.1055185381,0.9981666667
G+S_3,5.5576773188,1.3080666667
Pyr_1,-0.3980630046,0.3533666667
Pyr_2,1.1113474796,1.0592666667
Pyr_3,-0.20595485,0.3906666667
Gly_1,21.4906364844,0.0370666667
Gly_2,21.3727025898,0.9601666667000001
Gly_3,20.3870003616,-0.6530333333
Glucon_1,1.4058915314,0.0025666667000000002
Glucon_2,1.1221315606,0.2686666667
Glucon_3,1.9124185659,-0.3412333333
aero_1,3.2696715974,0.5792666667
aero_2,0.548905289,-0.7548333333
aero_3,3.2071898264,0.2833666667
nit_1,-0.6070009469000001,0.12016666670000001
nit_2,-2.2074924454,0.23496666670000002
nit_3,-0.6128362432000001,-0.0838333333
ferm_1,0.41547873230000004,-0.24453333330000002
ferm_2,0.6701776388,-0.43003333330000004
ferm_3,0.7069202705000001,0.1054666667
T-5.40H_1,-1.3885146757,0.40996666670000004
T-4.40H_1,-1.1419895526000001,0.3482666667
T-3.40H_1,-0.4953424441,0.4304666667
T-2.40H_1,-0.5769172463000001,0.1278666667
T-1.40H_1,1.6374053913000002,0.0910666667
T-1.10H_1,3.0128651037,0.8488666667
T-0.40H_1,1.8445503182,0.5210666667
T0.0H_1,3.6138969677,0.3233666667
T0.30H_1,8.4632917937,1.8059666667
T1.0H_1,3.0300481745,1.2177666667
T1.30H_1,1.7948180736000001,0.7560666667
T2.0H_1,-0.40516865760000004,0.5978666667
T2.30H_1,-2.028832469,1.3222666667
T3.0H_1,-2.1563370789,0.6222666667
T3.30H_1,-2.2374748245,0.8838666667
T4.0H_1,-2.0542652815,0.8481666667000001
T5.0H_1,-1.0411869478,0.16646666670000002
HPh_1,6.2386453789,0.4485666667
HPh_2,5.5535420092,-0.0734333333
HPh_3,4.9238119135,0.2897666667
LPh_1,6.2378247261,0.5001666667
LPh_2,6.1119330054,0.7927666667000001
LPh_3,5.7016405324,0.4211666667
LPhT_1,-1.0786240082,0.9485666667
LPhT_2,-1.5350691624000001,1.1358666667
LPhT_3,-1.6260609858000001,1.4181666667
SMMPr_1,-0.0723560355,0.055866666700000005
SMMPr_2,-0.2900283647,0.0282666667
SMMPr_3,-0.8639211575,0.12016666670000001
HiTm_1,0.4895190294,0.7989666667
HiTm_2,0.9940770129000001,0.8158666667000001
HiTm_3,-0.1348621617,0.5528666667000001
LoTm_1,-7.3423224395,0.1647666667
LoTm_2,-7.4643549714,-0.0725333333
LoTm_3,-7.2828473539,0.0596666667
HiOs_1,0.4881843387,0.8355666667
HiOs_2,0.1331635688,0.8688666667
HiOs_3,0.8701562979,0.7499666667
BMM_1,9.7149448072,0.11926666670000001
BMM_2,8.8761903444,-0.1185333333
BMM_3,7.6438428823999995,0.1161666667
Heat_1,6.281631542,1.4304666667000001
Heat_2,7.4356344214,1.1499666667
Heat_3,6.6822384015,0.8748666667
Cold_1,1.8516518885000002,-0.6921333333
Cold_2,0.6129541776,-1.3185333333
Cold_3,0.3569476522,-1.5716333332999999
Etha_1,-0.8187390425000001,-0.4615333333
Etha_2,-0.44126221130000004,-0.7683333333
Etha_3,-1.2584134978,-0.5881333333000001
SMM_1,9.4380619147,0.24306666670000002
SMM_2,9.4609436464,0.3175666667
SMM_3,9.1866064932,0.5349666667
Salt_1,4.2072032041,-0.5725333333
Salt_2,3.7742696564,-0.7058333333
Salt_3,4.2682456617,-0.6931333333
Mt0_1,8.0139261089,0.9051666667
Mt0_3,10.9556033267,1.1450666667
M0t45_1,2.5320700053,0.7232666667000001
M0t45_2,8.8516045445,0.5736666667
M0t45_3,1.7725239107,1.0270666667
M0t90_1,-3.2095272327,1.4305666666999999
M0t90_2,-5.3313422955,2.5494666667
M0t90_3,-3.2721649296,2.2011666667
M40t45_1,3.8567188382,0.3750666667
M40t45_2,-1.731894971,1.7431666667
M40t45_3,3.0722685163,1.1407666667
M40t90_1,-2.4910209684,2.0285666667
M40t90_2,-4.370154041,2.5927666667000002
M40t90_3,-2.2117533549,2.9479666667
dia0_1,10.7709342631,0.8103666667
dia0_2,7.9742475708,0.6901666667
dia0_3,7.687755135,0.6018666667
dia5_1,12.2924441979,0.9742666667000001
dia5_2,9.4489446686,0.8654666667
dia5_3,10.3179057979,0.5137666667
dia15_1,10.2299900065,0.5506666667
dia15_2,10.1974544737,0.7161666667000001
dia15_3,6.1808576195,-0.0328333333
Diami_1,21.5710497352,0.6635666667
Diami_2,23.4685111862,0.8912666667
Diami_3,21.5754364493,0.6900666667
Paraq_1,19.9346423773,0.9092666667
Paraq_2,23.6066112515,1.3533666667
Paraq_3,18.9006588431,-0.5109333333
H2O2_1,18.0852796945,0.3951666667
H2O2_2,19.7763644625,0.6558666667
H2O2_3,16.4112398597,0.1252666667
Oxctl_1,20.02893978,0.3980666667
Oxctl_2,21.8069382617,0.5748666667
Oxctl_3,23.4816056819,1.1491666667
GM-0.1_1,1.236784134,0.2320666667
GM-0.2_1,1.3980534107,0.0034666667
GM+5_1,1.2246358399,-0.2433333333
GM+15_1,0.8333122737,0.1990666667
GM+25_1,-0.2282698689,0.3835666667
GM+45_1,-0.17076974320000002,0.3392666667
GM+60_1,-0.2223731977,0.2722666667
GM+90_1,0.1001099357,0.3422666667
GM+120_1,1.4180723999,-0.5174333333
GM+150_1,-0.37300177700000003,-0.18053333330000002
GM-0.1_2,-0.3000509019,0.5032666667
GM-0.2_2,1.0143048376,0.5159666667
GM+5_2,0.3115445741,0.1789666667
GM+10_2,0.5603917964,0.0759666667
GM+15_2,0.7095577547,0.0052666667
GM+25_2,-0.042755422,0.1811666667
GM+45_2,-0.0627278953,-0.8187333333
GM+60_2,0.6855320709,-0.8869333333
GM+90_2,0.5894744205,0.3410666667
GM+150_2,-4.5719057753,-0.7636333333
GM-0.1_3,-0.0511259456,0.5001666667
GM-0.2_3,-0.80961545,0.5125666667000001
GM+5_3,-0.4695762974,0.3776666667
GM+10_3,0.2179157865,-0.8396333333
GM+15_3,0.1991969597,0.1180666667
GM+25_3,0.4687367868,-0.0934333333
GM+45_3,-0.5621512382,-0.1691333333
GM+60_3,0.5146409972,-0.5280333333
GM+90_3,0.42956588630000003,-0.2119333333
GM+120_3,0.9013111874,-0.0279333333
GM+150_3,-0.6773503987,-0.0174333333
MG-0.1_1,6.1955528569,0.7246666667
MG+5_1,3.0005869624,0.32786666670000003
MG+10_1,2.1201157184,0.6019666667
MG+15_1,1.4665404805,-0.2376333333
MG+25_1,0.5633535159,0.1483666667
MG+45_1,1.9190368447,-0.0517333333
MG+120_1,-1.1611937968000001,-0.1720333333
MG+150_1,-0.051407873,0.24326666670000002
MG-0.1_2,5.8798477004,-0.2926333333
MG-0.2_2,6.3745567106,0.2040666667
MG+5_2,2.846435984,0.0322666667
MG+10_2,2.4946450591,0.0460666667
MG+15_2,1.6746364377,0.8488666667
MG+25_2,1.609048795,-0.33333333330000003
MG+45_2,1.2903306586,-0.5024333333000001
MG+60_2,0.9407550046,-0.2084333333
MG+90_2,-0.0667329114,-0.46593333330000003
MG+120_2,-1.0077952581,0.4177666667
MG-0.1_3,6.9230552619,1.1900666667
MG-0.2_3,5.9741784323000005,0.4727666667
MG+5_3,2.1702271569000002,0.0638666667
MG+10_3,2.1398346161,-0.4559333333
MG+15_3,1.7533516106,0.4605666667
MG+25_3,1.322388495,0.023066666700000002
MG+45_3,0.9498386588000001,0.5495666667
MG+60_3,-0.5728347323,0.0753666667
MG+90_3,0.5408420483,0.24106666670000002
MG+120_3,-1.1940866113,0.0322666667
MG+150_3,0.8409592879000001,0.18206666670000002
