,A,GlpP
R2,,0.0
xmin,,-1.5716333332999999
xmid,,
xmax,,2.9479666667
ystart,,3.9908506804283017
yend,,3.9908506804283017
LBexp_1,12.2482471694,0.8725666667
LBexp_2,8.5359417685,0.7104666667
LBexp_3,7.6726779373,0.4358666667
LBtran_1,-0.5293644469000001,1.8125666667
LBtran_2,0.076983123,0.5329666667
LBtran_3,-0.0718492226,0.6509666667
LBstat_1,-5.5245505038000005,1.7241666667
LBstat_2,-4.3940892765,1.4009666667
LBstat_3,-3.4377039027,1.4625666667
LBGexp_1,10.7158257216,0.4090666667
LBGexp_2,7.8817911627,0.2821666667
LBGexp_3,11.2364168938,0.5045666667
LBGtran_2,-4.8623338963,0.7196666667
LBGtran_3,-3.5165536918,0.8548666667
LBGstat_1,-1.6367931299,0.8998666667
LBGstat_2,-2.021657759,0.4928666667
LBGstat_3,-3.8231194975,0.6627666667000001
S0_1,11.2059736711,0.4444666667
S0_2,13.5398492112,0.4861666667
S0_3,13.179351912,0.6691666667
S1_1,3.0017139704,1.3342666667
S1_2,3.4123280634,1.5831666667
S1_3,4.343852394,1.4849666667
S2_1,2.1683647056,0.9010666667
S2_2,3.6730984584,1.0083666667
S2_3,1.7676605625000001,0.8216666667
S3_1,1.3115660449,1.1417666667
S3_2,4.1852418594,1.6016666667
S4_1,1.8613553735,1.5003666667000002
S4_2,1.1946641433,1.5103666667
S4_3,1.0813302047,1.0946666667
S5_1,2.0646746408,1.5060666667
S5_2,2.8899932657000003,1.5513666667
S5_3,2.5778660335,1.7680666667
S6_1,2.5458157275,1.0996666667
S6_2,13.5313512567,-0.4026333333
S6_3,3.1588719943,0.8853666667000001
S6/t_1,3.2770064477,0.7233666667
S6/t_2,13.1686831268,-0.9957333333
S6_4,4.5050551039,0.30966666670000004
S6_5,4.1075536194,1.0162666667
S6_6,4.0376503082,1.2300666667
S7_4,4.0929438368,0.7728666667
S7_5,3.7475796774,0.2696666667
S7_6,3.9219251851,0.7123666667
S8_4,3.6123385111,0.0051666667
S8_5,7.6209948611,-0.22943333330000001
G135_1,19.4386402236,0.4471666667
G135_3,13.0990443907,-1.0374333333
G150_1,28.0850752776,0.7910666667
G150_2,27.7509297171,0.8344666667
G150_3,29.3857168457,1.0476666667
G180_1,14.0909751089,-0.1667333333
G180_2,15.1596203557,0.3709666667
G180_3,13.100132681,-0.5498333333000001
C30_1,11.248873985,0.2044666667
C30_2,11.8574035071,0.6365666667000001
C90_1,0.1779630495,0.8093666667
C90_2,-0.8348923349,0.9571666667000001
BI_1,9.2503642674,1.7283666667
BI_2,9.3374024901,1.9607666667
BC_2,1.7378132261,2.2543666667
BC/t_1,2.7528975481,1.9930666666999999
BC/t_2,3.3439285694,2.1129666667
BC_1,2.1751243802,1.7093666667
Sw_1,3.5056566173,2.3842666667
Sw_2,2.1795339975,2.6627666667
BT_1,10.2057825728,0.6328666667
BT_2,9.2280476833,0.3929666667
B36_1,8.4603919751,0.6502666667
B36_2,6.2829260415,0.5408666667
B60_1,7.4504219859,0.6397666667
B60_2,6.8600235916,0.5585666667
M9exp_1,-0.3591729148,0.3042666667
M9exp_2,-0.146967697,-0.06883333330000001
M9exp_3,0.5061406117,-0.23543333330000002
M9tran_1,-0.2999160179,0.1181666667
M9tran_2,-1.5811697637000002,-0.2837333333
M9tran_3,-0.5406723944,0.3659666667
M9stat_1,-3.7792064837,0.2093666667
