,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
0,Control__wt_glc,5.7134363165420154,0.11682036993312668,2.0,0.0,5.63083184078158,1.0,5.79604079230245,,,,,,,,
1,Fur__wt_dpd,3.9325140056743653,0.2371696180065786,2.0,2.0,4.10021825085824,3.0,3.76480976049049,,,,,,,,
2,Fur__wt_fe,5.16072844382302,0.05225595908977911,2.0,4.0,5.19767898685281,5.0,5.123777900793231,,,,,,,,
3,Fur__delfur_dpd,3.982898075477635,0.1265858135409407,2.0,6.0,4.07240776263445,7.0,3.89338838832082,,,,,,,,
4,Fur__delfur_fe2,5.209027461670814,0.10096885894154531,2.0,8.0,5.13763169682458,9.0,5.280423226517049,,,,,,,,
5,Acid__wt_ph5,5.309041951057395,0.029983651035219834,2.0,10.0,5.33024359402913,11.0,5.28784030808566,,,,,,,,
6,Acid__delgadx_ph5,5.27701252931962,0.1412684486343186,2.0,12.0,5.37690440731665,13.0,5.17712065132259,,,,,,,,
7,Acid__delgadw_ph5,5.40080803135335,0.0015273353237371834,2.0,14.0,5.39972804218879,15.0,5.4018880205179105,,,,,,,,
8,Acid__delgade_ph5,5.38490743505383,0.0901316236134872,2.0,16.0,5.32117475279738,17.0,5.448640117310281,,,,,,,,
9,Oxidative__wt_pq,3.9642001900276753,0.10192084862283605,2.0,18.0,3.8921312668221804,19.0,4.03626911323317,,,,,,,,
10,Oxidative__deloxyr_pq,4.62442775636614,0.0813592083485944,2.0,20.0,4.5668981084308795,21.0,4.6819574043014,,,,,,,,
11,Oxidative__delsoxr_pq,3.6526003144926404,0.36282897046776486,2.0,22.0,3.39604148906395,23.0,3.9091591399213304,,,,,,,,
12,Oxidative__delsoxs_pq,3.7982034367942354,0.04985595179350228,2.0,24.0,3.76294995519854,25.0,3.8334569183899303,,,,,,,,
13,Nac/NtrC__wt_csn,5.074399468574925,0.05513035780806741,2.0,26.0,5.0354164187196,27.0,5.11338251843025,,,,,,,,
14,Nac/NtrC__wt_cytd,5.249053516774605,0.0003032717932442216,2.0,28.0,5.249267962316151,29.0,5.24883907123306,,,,,,,,
15,Nac/NtrC__wt_gln,5.153867985708645,0.1806588318465623,2.0,30.0,5.281613070788589,31.0,5.0261229006287005,,,,,,,,
16,Nac/NtrC__bw_delnac_csn,4.687016310822806,0.08659809457617243,2.0,32.0,4.748250410735451,33.0,4.62578221091016,,,,,,,,
17,Nac/NtrC__bw_delnac_cytd,4.993813782356445,0.05777827394938519,2.0,34.0,5.034669191671309,35.0,4.9529583730415805,,,,,,,,
18,Nac/NtrC__bw_delnac_gln,4.744909367910025,0.1592953044653356,2.0,36.0,4.63227057791141,37.0,4.8575481579086395,,,,,,,,
19,Nac/NtrC__bw_delnac_nh4,5.616022365168925,0.05250526569596061,2.0,38.0,5.57889553574731,39.0,5.65314919459054,,,,,,,,
20,Misc__wt_no_te,5.168483199482544,0.17838947051201748,2.0,40.0,5.042342795191219,41.0,5.29462360377387,,,,,,,,
21,Misc__bw_delcbl,5.460554038872825,0.0639814430227465,2.0,42.0,5.505795751104309,43.0,5.41531232664134,,,,,,,,
22,Misc__bw_delfabr,5.398164618974455,0.033045029653930844,2.0,44.0,5.37479825442165,45.0,5.42153098352726,,,,,,,,
23,Misc__bw_delfadr,5.50706362830668,0.024419044132167805,2.0,46.0,5.5243305000026295,47.0,5.489796756610731,,,,,,,,
24,Misc__nitr_031,5.07595266730115,,1.0,48.0,5.07595266730115,,,,,,,,,,
25,Omics__wt_glu,5.103001767597554,0.2432656522927964,2.0,49.0,4.93098697523155,50.0,5.27501655996356,,,,,,,,
26,Omics__wt_gly,4.660862113912906,0.13087740457707503,2.0,51.0,4.56831781363236,52.0,4.75340641419345,,,,,,,,
27,Omics__wt_thr,4.477128921459785,0.16245637496351292,2.0,53.0,4.592002925843469,54.0,4.3622549170761005,,,,,,,,
28,Omics__bw_ac,4.88321773072426,0.04803098330519348,2.0,55.0,4.91718076472642,56.0,4.8492546967221,,,,,,,,
29,Omics__bw_fum,5.564925410951711,0.20526042161582508,2.0,57.0,5.419784374917951,58.0,5.71006644698547,,,,,,,,
30,Omics__bw_glc,5.904847427797175,0.04159177079296966,2.0,59.0,5.93425725096644,60.0,5.875437604627909,,,,,,,,
31,Omics__bw_pyr,5.255773765128305,0.10128873078906325,2.0,61.0,5.18415181672958,62.0,5.3273957135270305,,,,,,,,
32,OmpR__wt_nacl,3.25349564523143,0.12196789836133247,2.0,63.0,3.3397399732497997,64.0,3.16725131721306,,,,,,,,
33,OmpR__bw_delompr_nacl,2.71405231159976,0.04641000162972879,2.0,65.0,2.74686913846702,66.0,2.6812354847325,,,,,,,,
34,MinSpan__wt_ade,5.35824902354096,,1.0,67.0,5.35824902354096,,,,,,,,,,
35,MinSpan__wt_glc,5.1695567598743555,0.24020713734786636,4.0,68.0,5.512546027728651,69.0,5.094690208847901,70.0,5.11888266827371,71.0,4.95210813464716,,,,
36,MinSpan__wt_glc_anaero,4.703144308735335,0.2840774224412956,2.0,72.0,4.904017380525571,73.0,4.5022712369450995,,,,,,,,
37,MinSpan__wt_trp,4.30844371344702,,1.0,74.0,4.30844371344702,,,,,,,,,,
38,MinSpan__bw_delcra_glc,4.31980232375534,0.4135122395497153,2.0,75.0,4.61219963244458,76.0,4.0274050150661,,,,,,,,
39,MinSpan__bw_delcra_trp,4.47056532200093,,1.0,77.0,4.47056532200093,,,,,,,,,,
40,MinSpan__bw_delmntr,4.31373348857745,,1.0,78.0,4.31373348857745,,,,,,,,,,
41,MinSpan__bw_delnac_ade,3.6739756746469903,,1.0,79.0,3.6739756746469903,,,,,,,,,,
42,MinSpan__bw_delnac_glc,5.392915983737639,,1.0,80.0,5.392915983737639,,,,,,,,,,
43,Cra/Crp__wt_ac,4.027022696514345,0.36873073965180786,2.0,81.0,4.28775470295407,82.0,3.7662906900746203,,,,,,,,
44,Cra/Crp__wt_fru,4.529776957827865,0.03867468186135292,2.0,83.0,4.50242982802347,84.0,4.55712408763226,,,,,,,,
45,Cra/Crp__delcra_ac,4.38729829434771,0.14324214224440904,2.0,85.0,4.48858578448042,86.0,4.2860108042150005,,,,,,,,
46,Cra/Crp__delcra_fru,5.249765211462295,0.10067489558473658,2.0,87.0,5.32095311282551,88.0,5.17857731009908,,,,,,,,
47,Cra/Crp__delcra_glc,5.525824728074765,0.05061487418928199,2.0,89.0,5.49003460730662,90.0,5.56161484884291,,,,,,,,
48,RpoB Knock-in__wt_031,4.13993312870266,,1.0,91.0,4.13993312870266,,,,,,,,,,
49,RpoB Knock-in__wt_044,4.96221533730576,,1.0,92.0,4.96221533730576,,,,,,,,,,
50,RpoB Knock-in__wt_lb,4.75909192915588,0.007629022043823806,2.0,93.0,4.764486462376889,94.0,4.7536973959348705,,,,,,,,
51,RpoB Knock-in__rpoBE546V_031,5.044821213967889,,1.0,95.0,5.044821213967889,,,,,,,,,,
52,RpoB Knock-in__rpoBE546V_044,4.914723195748,,1.0,96.0,4.914723195748,,,,,,,,,,
53,RpoB Knock-in__rpoBE546V_lb,5.0225660209672,0.24074932406310623,2.0,97.0,4.8523305413561,98.0,5.1928015005783,,,,,,,,
54,RpoB Knock-in__rpoBE546V_glc,5.39674621068128,,1.0,99.0,5.39674621068128,,,,,,,,,,
55,RpoB Knock-in__rpoBE672K_glc,5.371917983653056,0.1686102796205283,2.0,100.0,5.491143455750491,101.0,5.25269251155562,,,,,,,,
56,RpoB Knock-in__rpoBE672K_lb,5.53968609525162,0.01920878871088998,2.0,102.0,5.5532687600074695,103.0,5.52610343049577,,,,,,,,
57,Crp ARs__wt_fru,4.68159992362444,,1.0,104.0,4.68159992362444,,,,,,,,,,
