,cysQ
Cr_1,0.0009769220087037117
Cr_2,0.005141762444835864
Cr_3,0.01298068584699707
Cr_4,0.02215215879940677
Cr_5,0.034117437041337524
Cr_6,0.04093545440199348
Fe_1,-0.011703396700738495
Fe_2,-0.0388556374973944
Fe_3,-0.070916331275933
Fe_4,-0.1085336749439339
Fe_5,-0.14323643356815158
Fe_6,-0.17176084579928974
Cd_1,0.003697842174539714
Cd_2,0.0058847646901525295
Cd_3,0.007085596312307272
Cd_4,0.00701735393565125
Cd_5,0.004805620670349261
Cd_6,0.010768816753712546
Zn_1,0.02517532859294984
Zn_2,0.2522266310155167
Zn_3,0.5781969829920401
Zn_4,0.8192848829209054
Zn_5,0.9507500901163688
Zn_6,1.0144696418504255
Cu_1,0.00030104720997938667
Cu_2,0.0030652752363095745
Cu_3,0.008338946926836021
Cu_4,0.01060177460042871
Cu_5,0.014413896130192672
Cu_6,0.020183159006002743
Pb_1,0.011681944503454758
Pb_2,0.046281852005418095
Pb_3,0.0974628803802466
Pb_4,0.16190188008606807
Pb_5,0.2341500395829615
Pb_6,0.3121331449279073
