,A,DksA
R2,,0.07940091396934967
xmin,,-2.4380674250000016
xmid,,-0.6078352102772807
xmax,,1.121819649999999
ystart,,2.712116273843452
yend,,-2.1854894657629305
control__wt_glc__1,-0.1408610280352644,0.1076298599999994
control__wt_glc__2,0.140861028035239,-0.1076298600000012
fur__wt_dpd__1,2.367686533385859,0.009194409999999207
fur__wt_dpd__2,0.901066068234254,-0.4192228390000015
fur__wt_fe__1,2.4002049738402587,-0.2020565680000015
fur__wt_fe__2,1.8886707132963605,-0.2513798250000008
fur__delfur_dpd__1,6.290681749132169,0.055686959999999175
fur__delfur_dpd__2,5.857070413037885,-0.6067309120000015
fur__delfur_fe2__1,2.31926721351599,-0.015482680000001638
fur__delfur_fe2__2,2.3719852699972024,-0.011832420000001065
acid__wt_ph5__1,0.422358535681526,0.0076367799999985655
acid__wt_ph5__2,0.5173895344238822,-0.035663430000001384
acid__delgadx_ph5__2,0.6318218538725217,-0.3677387550000013
acid__delgadw_ph5__1,0.9724087566386962,-0.07422747000000207
acid__delgadw_ph5__2,0.8421600414377347,-0.09099579000000092
acid__delgade_ph5__1,0.5543250100470558,-0.017992910000002027
acid__delgade_ph5__2,0.7602412250889836,0.0005798099999996252
oxidative__wt_pq__1,-1.0911303819988785,0.7980413299999984
oxidative__wt_pq__2,-1.1645913532110568,0.6025655299999979
oxidative__deloxyr_pq__1,-1.098003453398869,0.7317989099999984
oxidative__deloxyr_pq__2,-1.3773791998277425,0.6495899299999994
oxidative__delsoxr_pq__1,-1.2068650908292964,0.2617222499999983
oxidative__delsoxr_pq__2,-1.2255555482668934,0.2595753599999995
oxidative__delsoxs_pq__1,-1.0694594066844223,0.5245155899999983
oxidative__delsoxs_pq__2,-1.033795065737893,0.5707898099999991
nac_ntrc__wt_csn__1,-0.8202402226167876,0.16052029999999815
nac_ntrc__wt_csn__2,-0.7828019666142125,0.2772081599999989
nac_ntrc__wt_cytd__1,-0.0078490179043315,0.22319686999999888
nac_ntrc__wt_cytd__2,0.0138172019609202,0.3195903099999988
nac_ntrc__wt_gln__1,0.7112799152436855,0.1852724099999996
nac_ntrc__wt_gln__2,0.4619557884347487,0.3342519999999993
nac_ntrc__bw_delnac_csn__1,-1.693096904033658,-0.2621489740000005
nac_ntrc__bw_delnac_csn__2,-0.7685022554124408,-0.5524067710000011
nac_ntrc__bw_delnac_cytd__1,2.325823685301732,0.07475684999999821
nac_ntrc__bw_delnac_cytd__2,2.793435775920094,0.03585329999999942
nac_ntrc__bw_delnac_gln__1,1.560340633464709,0.0380137999999981
nac_ntrc__bw_delnac_gln__2,1.4880163946988332,-0.08735342000000124
nac_ntrc__bw_delnac_nh4__1,0.940302778699244,-0.04080128000000194
nac_ntrc__bw_delnac_nh4__2,1.5166101508768488,-0.07593800000000073
misc__wt_no_te__1,1.3526803212090497,0.22676975999999804
misc__wt_no_te__2,1.7107728576116,0.01174367999999859
misc__bw_delcbl__1,2.589731715634011,-0.5797101590000011
misc__bw_delcbl__2,2.425175007395156,-0.5795122940000006
misc__bw_delfabr__1,2.213770436456503,-0.5769577290000019
misc__bw_delfabr__2,2.047662983823277,-0.515933084000002
misc__bw_delfadr__1,2.8069221090354524,-0.5264993700000016
misc__bw_delfadr__2,2.841473540848966,-0.1164916500000004
misc__nitr_031__1,0.7550738113631529,0.20116574999999948
omics__wt_glu__1,1.00471809261729,-0.9273650690000004
omics__wt_glu__2,0.6458681607735641,-0.8596755390000013
omics__wt_gly__1,2.5602590375173717,-0.6696588900000009
omics__wt_gly__2,2.2425509437392,-0.7331763170000016
omics__wt_thr__1,0.91187246338313,-0.7451474140000016
omics__wt_thr__2,1.9945834627041736,-0.7223676160000014
omics__bw_ac__1,-3.760044743315868,0.2426539099999996
omics__bw_ac__2,-3.930875956411124,0.3364245999999991
omics__bw_fum__1,-4.2293387316921445,0.8194052799999979
omics__bw_fum__2,-4.006513318629058,0.8154417899999995
omics__bw_glc__1,-3.7449056489010206,0.5184308499999979
omics__bw_glc__2,-3.272387657405184,0.4796128399999979
omics__bw_pyr__1,-4.247992023321629,0.3841025699999996
omics__bw_pyr__2,-3.98937790724544,0.5463251299999996
ompr__wt_nacl__1,-4.670261339773117,-0.2203507380000005
ompr__wt_nacl__2,-4.681030928872282,-0.06804128000000098
ompr__bw_delompr_nacl__1,-3.859166196235748,-0.3078799210000014
ompr__bw_delompr_nacl__2,-3.829591605540073,-0.30159189700000155
minspan__wt_ade__1,3.6848999155730175,-0.5731016470000014
minspan__wt_glc__2,0.1832754239840219,-0.6758749860000021
minspan__wt_glc__3,-0.5169069729542027,-0.6840573070000016
minspan__wt_glc__4,0.0649291471633364,-0.7689962310000009
minspan__wt_glc_anaero__1,-2.7193715856909018,-0.9779732880000012
minspan__wt_glc_anaero__2,-2.118641495726655,-0.9254245530000008
minspan__wt_trp__1,11.60057550247586,-0.5289674810000005
minspan__bw_delcra_glc__2,2.9656227538871924,-0.5329870900000007
minspan__bw_delcra_trp__1,3.279730080507105,-0.4398418020000019
minspan__bw_delmntr__1,7.103007339191482,-0.5451796610000006
minspan__bw_delnac_ade__1,-1.6501094577277682,-1.5243780760000014
minspan__bw_delnac_glc__1,-0.399227790544549,-0.6186027230000004
cra_crp__wt_ac__1,-1.707773895119776,-0.6802902480000004
cra_crp__wt_ac__2,-1.613469185911627,-0.5718562410000008
