locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Phage region 3,link
ABUW_0740,0.15912856690000002,ABUW_0740,hypothetical protein,No COG annotation,,Phage region 2,False,
ABUW_1268,0.1586251678,ABUW_1268,hypothetical protein,No COG annotation,,Phage region 3,True,
ABUW_1260,0.1525466797,ABUW_1260,hypothetical protein,No COG annotation,Op671,Phage region 3,True,
ABUW_1266,0.1451171248,ABUW_1266,regulator protein%2C putative,No COG annotation,Op674,Phage region 3,True,
ABUW_1398,0.1423744183,ABUW_1398,hypothetical protein,No COG annotation,Op731,Phage region 5,False,
ABUW_0742,0.1359202974,ABUW_0742,hypothetical protein,No COG annotation,Op399,Phage region 2,False,
ABUW_1258,0.1349801497,ABUW_1258,hypothetical protein,No COG annotation,Op671,Phage region 3,True,
ABUW_1259,0.1346529455,ABUW_1259,hypothetical protein,No COG annotation,Op671,Phage region 3,True,
ABUW_1269,0.1346120828,ABUW_1269,hypothetical protein,No COG annotation,Op675,Phage region 3,True,
ABUW_1257,0.131062131,ABUW_1257,hypothetical protein,Function unknown,Op671,Phage region 3,True,
ABUW_0748,0.1300412025,ABUW_0748,hypothetical protein,No COG annotation,Op402,Phage region 2,False,
ABUW_0744,0.1269559666,ABUW_0744,hypothetical protein,No COG annotation,Op399,Phage region 2,False,
ABUW_0741,0.12636824030000002,ABUW_0741,hypothetical protein,No COG annotation,Op399,Phage region 2,False,
ABUW_1402,0.1226775306,ABUW_1402,hypothetical protein,No COG annotation,Op733,,False,
ABUW_1396,0.12188773010000001,ABUW_1396,hypothetical protein,No COG annotation,Op731,Phage region 5,False,
ABUW_1395,0.1186225259,ABUW_1395,hypothetical protein,No COG annotation,Op731,Phage region 5,False,
ABUW_1267,0.1153014799,ABUW_1267,hypothetical protein,No COG annotation,Op674,Phage region 3,True,
ABUW_1401,0.1143273375,ABUW_1401,hypothetical protein,No COG annotation,Op733,Phage region 5,False,
ABUW_1270,0.1128386979,ABUW_1270,hypothetical protein,Function unknown,Op675,Phage region 3,True,
ABUW_1254,0.11126719630000001,ABUW_1254,hypothetical protein,No COG annotation,Op671,Phage region 3,True,
ABUW_0739,0.10548444750000001,ABUW_0739,hypothetical protein,No COG annotation,Op398,Phage region 2,False,
ABUW_0751,0.1042110683,ABUW_0751,hypothetical protein,"Replication, recombination and repair",Op403,Phage region 2,False,
ABUW_1256,0.1037728535,ABUW_1256,hypothetical protein,Function unknown,Op671,Phage region 3,True,
ABUW_0750,0.1025706123,ABUW_0750,hypothetical protein,No COG annotation,Op403,Phage region 2,False,
ABUW_1392,0.0967907905,ABUW_1392,bacteriophage lambda - Bet,Function unknown,Op731,Phage region 5,False,
ABUW_1397,0.09647626370000001,ABUW_1397,hypothetical protein,No COG annotation,Op731,Phage region 5,False,
ABUW_0743,0.09507104570000001,ABUW_0743,hypothetical protein,No COG annotation,Op399,Phage region 2,False,
ABUW_1271,0.0923554986,ABUW_1271,replicative DNA helicase,"Replication, recombination and repair",Op675,Phage region 3,True,
ABUW_1393,0.0914273055,ABUW_1393,hypothetical protein,No COG annotation,Op731,Phage region 5,False,
ABUW_1255,0.0895155126,ABUW_1255,hypothetical protein,No COG annotation,Op671,Phage region 3,True,
ABUW_1391,0.0860701398,ABUW_1391,nuclease,"Replication, recombination and repair",Op731,Phage region 5,False,
ABUW_1250,0.08474367170000001,ABUW_1250,hypothetical protein,No COG annotation,Op671,Phage region 3,True,
ABUW_1403,0.0832726257,ABUW_1403,hypothetical protein,"Replication, recombination and repair",Op733,Phage region 5,False,
ABUW_1253,0.0748205302,ABUW_1253,hypothetical protein,No COG annotation,Op671,Phage region 3,True,
ABUW_0752,0.0707243949,ABUW_0752,replicative DNA helicase,"Replication, recombination and repair",Op403,Phage region 2,False,
ABUW_1389,0.06949021450000001,ABUW_1389,hypothetical protein,No COG annotation,Op731,Phage region 5,False,
ABUW_0738,0.0649452666,ABUW_0738,hypothetical protein,No COG annotation,Op398,Phage region 2,False,
ABUW_1988,0.0644769444,ABUW_1988,hypothetical protein,No COG annotation,Op1036,ABUW_1645,False,
ABUW_1394,0.06383036930000001,ABUW_1394,hypothetical protein,No COG annotation,Op731,Phage region 5,False,
ABUW_0753,0.0633445121,ABUW_0753,hypothetical protein,No COG annotation,,Phage region 2,False,
ABUW_1390,0.0628847367,ABUW_1390,hypothetical protein,No COG annotation,Op731,Phage region 5,False,
ABUW_1298,0.062271158300000004,ABUW_1298,hypothetical protein,No COG annotation,Op688,Phage region 4,False,
ABUW_1986,0.0614211057,ABUW_1986,replication initiation factor,"Replication, recombination and repair",Op1035,,False,
ABUW_0754,0.061406445100000005,ABUW_0754,hypothetical protein,No COG annotation,Op404,Phage region 2,False,
ABUW_1251,0.061096836300000006,ABUW_1251,hypothetical protein,No COG annotation,Op671,Phage region 3,True,
ABUW_1985,0.060726026700000005,ABUW_1985,hypothetical protein,No COG annotation,Op1035,,False,
ABUW_1413,0.0600474687,ABUW_1413,hypothetical protein,No COG annotation,Op734,Phage region 5,False,
ABUW_1412,0.0595712245,ABUW_1412,hypothetical protein,No COG annotation,Op734,Phage region 5,False,
ABUW_1404,0.0592492317,ABUW_1404,hypothetical protein,No COG annotation,Op733,Phage region 5,False,
ABUW_0749,0.058941099500000003,ABUW_0749,hypothetical protein,No COG annotation,Op402,Phage region 2,False,
ABUW_0737,0.0581406374,ABUW_0737,hypothetical protein,No COG annotation,Op398,Phage region 2,False,
