,cirA
Cr_1,0.008863778424204159
Cr_2,0.02859518252320975
Cr_3,0.06322115866904132
Cr_4,0.09118615056860972
Cr_5,0.10755340650869832
Cr_6,0.10763194231170001
Fe_1,-0.009115469016854843
Fe_2,-0.022797782911910168
Fe_3,-0.03983965262540578
Fe_4,-0.07266399351145301
Fe_5,-0.11870572796484813
Fe_6,-0.16886659852139702
Cd_1,0.003593503137959575
Cd_2,0.011414697973256465
Cd_3,0.01933597703492521
Cd_4,0.02684330539680942
Cd_5,0.035217435946609685
Cd_6,0.04708803688242478
Zn_1,-0.004081732541618758
Zn_2,0.0021424024784633122
Zn_3,0.01292623619940038
Zn_4,0.026747703502671936
Zn_5,0.04493146119997223
Zn_6,0.07377594128708714
Cu_1,0.004229805042252422
Cu_2,0.013601439367879943
Cu_3,0.02966793073603364
Cu_4,0.0443656481645907
Cu_5,0.059800276124575176
Cu_6,0.07963614682147913
Pb_1,0.007657617709637517
Pb_2,0.0157939060822979
Pb_3,0.03131191816642419
Pb_4,0.04276059871465816
Pb_5,0.05008590430504147
Pb_6,0.06461960050790265
