,apbE
Cr_1,-0.0005848675360830707
Cr_2,0.0018265036843301574
Cr_3,0.008300964327182815
Cr_4,0.013204147932637106
Cr_5,0.015774783679333874
Cr_6,0.020298865146986887
Fe_1,-0.004608697057261592
Fe_2,-0.00612759839140578
Fe_3,-0.005676990616830262
Fe_4,-0.016142131872151928
Fe_5,-0.024551873271204627
Fe_6,-0.035562933715961316
Cd_1,0.008658962941829834
Cd_2,0.016335424833503708
Cd_3,0.02269314398483854
Cd_4,0.03150702050413783
Cd_5,0.03852205920514587
Cd_6,0.048390936088188605
Zn_1,-0.0014936979428574802
Zn_2,-1.7972827518335658e-05
Zn_3,0.0030764694249814355
Zn_4,0.008302445874576667
Zn_5,0.013911507185935371
Zn_6,0.014846046306466094
Cu_1,0.002479862140683675
Cu_2,0.005591812940790129
Cu_3,0.010560923187081466
Cu_4,0.014461849846850285
Cu_5,0.020191651403186173
Cu_6,0.026465646029387637
Pb_1,0.003536348145442346
Pb_2,0.010681273629907112
Pb_3,0.023274759498150832
Pb_4,0.039347331230094325
Pb_5,0.053576304200624314
Pb_6,0.06478337334877929
