,0.0,0.07646802852502022,0.15293605705004043,0.22940408557506065,0.30587211410008086,0.3823401426251011,0.4588081711501213,0.5352761996751415,0.6117442282001617,0.6882122567251819,0.7646802852502022,0.8411483137752224,0.9176163423002426,0.9940843708252628,1.070552399350283,1.1470204278753031,1.2234884564003234,1.2999564849253438,1.3764245134503639,1.452892541975384
thresh,-0.03823401426251011,0.03823401426251011,3,,,,,,,,,,,,,,,,,
unreg,4189,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CueR,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HprR and CusR,6,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],['hprR' 'hprS' 'pheP'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
CueR_genes,['moaD' 'moaB' 'moaC' 'moaE' 'moaA'],['cueO' 'copA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
HprR and CusR_genes,['cyoA' 'cyoB' 'cyoC' 'cyoD' 'cyoE' 'yedX'],[],['cusS' 'cusR'],[],['cusA'],[],['cusB'],['cusC' 'cusF'],[],[],[],[],[],[],[],[],[],[],[],[]
