,A,YlxR
R2,,0.09094697842128996
xmin,,-5.4280333333
xmid,,-1.9933971473688843
xmax,,1.1019666667
ystart,,-13.948333029018787
yend,,-2.883537029454734
LBexp_1,-17.3324074856,0.2071666667
LBexp_2,-21.4529209937,-0.23873333330000002
LBexp_3,-20.3477388025,-0.3209333333
LBtran_1,-23.9656555338,-2.3752333333
LBtran_2,-20.4150179234,-1.1916333333
LBtran_3,-18.7891894755,-0.8329333333000001
LBstat_1,-20.8902564129,-1.5300333333
LBstat_2,-19.5859229092,-1.5165333333
LBstat_3,-17.1685663707,-1.6823333333
LBGexp_1,-14.6189470373,0.4822666667
LBGexp_2,-13.867777222299999,0.2757666667
LBGexp_3,-14.267250946,0.5315666667
LBGtran_2,-10.811745561,-1.1703333333
LBGtran_3,-12.0372680718,-0.45333333330000003
LBGstat_1,-14.9885781126,0.4960666667
LBGstat_2,-10.9199176443,0.1254666667
LBGstat_3,-18.4382194832,-1.0062333333
S0_1,-25.8687580093,-0.4214333333
S0_2,-24.2882825477,-0.0536333333
S0_3,-22.4376351419,-0.0008333333
S1_1,-18.191611823,-0.7642333333
S1_2,-19.1505631264,-0.9248333333000001
S1_3,-15.6581171302,-0.6546333333000001
S2_1,-8.4749516732,-1.2418333333
S2_2,-4.5763162359,-1.2219333333
S2_3,-4.9727659711,-1.3555333333
S3_1,-11.7388359968,-0.8642333333000001
S3_2,-10.8978562318,-0.7918333333
S4_1,-13.754578993900001,-0.5637333333
S4_2,-14.2480178983,-0.9446333333
S4_3,-14.1011430824,-1.2566333333
S5_1,-16.4055281178,-1.4545333333000001
S5_2,-17.0095318545,-0.9179333333
S5_3,-15.7244309623,-1.0068333333
S6_1,-16.7825402943,-2.0076333333
S6_2,-17.5572987902,-4.8074333333
S6_3,-16.0700564285,-1.9768333333
S6/t_1,-14.9623526105,-2.3108333333
S6/t_2,-14.0544953229,-5.4280333333
S6_4,-15.9466800457,-2.3052333333
S6_5,-16.1355612309,-1.7132333333
S6_6,-16.9476507973,-1.5795333333000001
S7_4,-16.6271524896,-2.0007333333
S7_5,-17.0157597599,-2.4583333333
S7_6,-16.2538389934,-1.8481333333
S8_4,-16.2264927158,-2.6645333333
S8_5,-15.2684871576,-4.1476333333
G135_1,-10.7216813502,0.5620666667
G135_3,-11.5269898665,-1.2287333333000001
G150_1,-12.6994018137,0.1670666667
G150_2,-13.5724189044,0.7750666667
G150_3,-11.7933777505,0.6999666667000001
G180_1,-13.6207495438,0.6055666667
G180_2,-13.3215612205,0.5923666667
G180_3,-14.3176165221,-0.46033333330000004
C30_1,-9.7576977054,-0.6260333333
C30_2,-8.4386252993,-0.3794333333
C90_1,-16.0548565382,-2.1511333333
C90_2,-15.6425838539,-1.5154333333
BI_1,-12.8343035424,-0.5505333333
BI_2,-11.6626578834,-0.3652333333
BC_2,-28.3089651473,-0.8512333333000001
BC/t_1,-25.1422520514,-1.7349333332999999
BC/t_2,-22.9039876032,-1.3483333333
BC_1,-27.7607061523,-1.5732333333000001
