,ydeA
Cr_1,0.00841489023403487
Cr_2,0.01598538535947571
Cr_3,0.02548550091124108
Cr_4,0.03467489543550165
Cr_5,0.04322893451851797
Cr_6,0.05169508044202058
Fe_1,-0.019505633643814902
Fe_2,-0.02694351487586663
Fe_3,-0.03419039262304385
Fe_4,-0.032303585069856325
Fe_5,-0.03131464815384357
Fe_6,-0.02587949964386974
Cd_1,0.0016324671330267347
Cd_2,-0.0035049009945101106
Cd_3,-0.009439608698526985
Cd_4,0.0011535807725238435
Cd_5,0.019257606025404616
Cd_6,0.061841297147420086
Zn_1,0.00025663471336355046
Zn_2,0.011520374134838193
Zn_3,0.033606599207671166
Zn_4,0.053592645531714375
Zn_5,0.07388784653353905
Zn_6,0.0916926073389076
Cu_1,0.0028167273406262835
Cu_2,0.009941416086330802
Cu_3,0.011545205239936846
Cu_4,0.014842610222333387
Cu_5,0.02080088685086572
Cu_6,0.027925132920260817
Pb_1,0.0022062587016862803
Pb_2,0.0016141803813666776
Pb_3,0.00290572409919654
Pb_4,-0.0002804678010411248
Pb_5,0.004558008349651178
Pb_6,0.0102782072820967
