,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,9.25185853854297e-18,0.18730113794092626,3.0,0.0,-0.1780428832,1.0,-0.0173141831,2.0,0.19535706630000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-1.4320762098,0.900012408296455,3.0,3.0,-1.9401449295000002,4.0,-1.9631672967,5.0,-0.39291640320000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-2.2798172812333335,0.22894233034713132,3.0,6.0,-2.442217054,7.0,-2.3792671277,8.0,-2.017967662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.761901851671336e-12,0.17960878013419637,21.0,9.0,0.16748018480000001,10.0,0.12397240420000001,11.0,-0.2777045333,12.0,0.057263841700000005,13.0,0.15275616150000002,14.0,-0.0544217294,15.0,0.0837005616,16.0,-0.2406488414,17.0,-0.37950733270000003,18.0,-0.0314630713,19.0,0.0435286703,20.0,0.11890090340000001,21.0,0.013266863200000001,22.0,-0.1624402513,23.0,0.0622467266,24.0,0.28829809570000003,25.0,0.07581733730000001,26.0,0.2766725552,27.0,0.0125483429,28.0,-0.2614713689,29.0,-0.0687955202
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-2.534563895185715,0.43325166135125703,21.0,30.0,-2.3425127657,31.0,-2.7220295594,32.0,-2.6522564993,33.0,-2.432449348,34.0,-1.7530120263,35.0,-2.3140993012,36.0,-2.092558748,37.0,-2.5396011668,38.0,-2.4265414851,39.0,-2.2876432965999998,40.0,-2.2163559639,41.0,-2.5177253394,42.0,-2.4926323722,43.0,-2.8185981459000002,44.0,-2.9213232444,45.0,-2.4122757156,46.0,-4.0481393438,47.0,-2.7329478604,48.0,-2.4787276431,49.0,-2.3581303718,50.0,-2.666281602
5,WT_vs_Del_ccpA__THY_None_WT_exponential,4.625929269271485e-18,0.08855896705651753,3.0,51.0,-0.096246917,52.0,0.0182054226,53.0,0.07804149440000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-0.018335239725000015,0.3217244522131727,4.0,54.0,-0.5003750880000001,55.0,0.15025268800000002,56.0,0.1558479756,57.0,0.1209334655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-3.2526065174565133e-19,0.01402921300285633,4.0,58.0,0.0112918487,59.0,-0.018737934300000002,60.0,0.0102083465,61.0,-0.0027622609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,0.088918392275,0.05607945091513921,4.0,62.0,0.16444787260000002,63.0,0.0605600842,64.0,0.0954430923,65.0,0.03522252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,0.004116396875000003,0.051804801600726764,4.0,66.0,-0.0694005145,67.0,0.015078367300000001,68.0,0.018515611600000002,69.0,0.052272123100000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,-0.026800735275,0.06616772444513554,4.0,70.0,0.0347683088,71.0,0.0240492455,72.0,-0.09782606640000001,73.0,-0.068194429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,-4.625929269271485e-18,0.14922926414221724,6.0,74.0,0.11725883100000001,75.0,0.1322582718,76.0,0.147936472,86.0,-0.09868239740000001,88.0,-0.1055138498,90.0,-0.1932573276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,-0.7519969714166667,0.4968261550258749,6.0,77.0,-0.4310481572,78.0,-0.43912539310000004,79.0,-0.1810749164,87.0,-1.0028866457,89.0,-0.9211334966,91.0,-1.5367132195000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,-0.2807153708666667,0.1097005201106568,3.0,80.0,-0.15634287060000002,82.0,-0.3637058272,84.0,-0.32209741480000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,-2.1079879256666665,0.1343038520397809,3.0,81.0,-2.0988283738,83.0,-1.9784983105,85.0,-2.2466370927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WT_vs_Del_fabT__THY_35°C_WT_mid-exponential_OD1.0,3.333332828509006e-11,0.13381047622429554,3.0,92.0,-0.13020297520000002,93.0,0.1371475318,94.0,-0.0069445565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WT_vs_Del_fabT__THY_35°C_Del_fabT_mid-exponential_OD1.0,0.032889432733333335,0.043579496713488174,3.0,95.0,0.0680034696,96.0,0.0465482091,97.0,-0.015883380500000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WT_vs_Del_fabT__THY_40°C_WT_mid-exponential_OD1.0,-0.04070681440000001,0.2697365825109308,3.0,98.0,-0.1479477533,99.0,0.2661573316,100.0,-0.24033002150000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WT_vs_Del_fabT__THY_40°C_Del_fabT_mid-exponential_OD1.0,0.0718305738,0.04837800519244301,3.0,101.0,0.0615059899,102.0,0.1245374092,103.0,0.0294483223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WT_vs_Del_fabT__THY_35°C_WT_stationary,-1.7730244822666668,0.03168081221776154,3.0,104.0,-1.7730126123,105.0,-1.8047112278,106.0,-1.7413496067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WT_vs_Del_fabT__THY_35°C_Del_fabT_stationary,-1.7386539645333332,0.08779656305362964,3.0,107.0,-1.8259497827,108.0,-1.7396470297,109.0,-1.6503650812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
