,adrA
Cr_1,0.0006680997557559352
Cr_2,-0.0018976688700609152
Cr_3,0.0003316065380250184
Cr_4,0.0015773316607290435
Cr_5,0.006148929280350299
Cr_6,0.013647843661053179
Fe_1,0.00781563742318155
Fe_2,-0.030898441890504686
Fe_3,-0.06852241721306092
Fe_4,-0.17276635552899403
Fe_5,-0.2457693410388
Fe_6,-0.16766837762582967
Cd_1,0.005927372052608012
Cd_2,0.016055020621506245
Cd_3,0.024059887613555254
Cd_4,0.029486283995127763
Cd_5,0.03225510531186111
Cd_6,0.03820789525455805
Zn_1,0.0015646526699346064
Zn_2,-0.008370792654444188
Zn_3,-0.003355137897576752
Zn_4,0.00788945652692912
Zn_5,0.0004024231831547628
Zn_6,-0.005391696477990943
Cu_1,0.004238470797013204
Cu_2,0.008647119209138214
Cu_3,0.012382351958587357
Cu_4,0.025004253364913426
Cu_5,0.03427325500590096
Cu_6,0.04113764258809393
Pb_1,0.003619981837886404
Pb_2,0.012472756133602488
Pb_3,0.02857191164275448
Pb_4,0.03706039111890275
Pb_5,0.0565672635367696
Pb_6,0.06945429318546846
