,ymdE
Cr_1,0.004705367672711053
Cr_2,0.0146191106816464
Cr_3,0.023616435263993943
Cr_4,0.03316473195284759
Cr_5,0.036636703684259385
Cr_6,0.043696019250725374
Fe_1,-0.005355021020169197
Fe_2,-0.010722157556190149
Fe_3,-0.01290329705281094
Fe_4,-0.02249187555634625
Fe_5,-0.021427174163465467
Fe_6,-0.028587564391857938
Cd_1,-0.009370727278953895
Cd_2,-0.011530739814820815
Cd_3,-0.012773283947403057
Cd_4,-0.015591805683921062
Cd_5,-0.022806847879807704
Cd_6,-0.02144460014034973
Zn_1,-0.002527232064478291
Zn_2,0.011307293533922123
Zn_3,0.026766554062095303
Zn_4,0.045927405224484
Zn_5,0.0708685313687045
Zn_6,0.09315063133064304
Cu_1,0.04251287266238017
Cu_2,0.04000382657979746
Cu_3,0.021835437302694855
Cu_4,0.009835808339987748
Cu_5,0.0003077686639131814
Cu_6,-0.003620039343381737
Pb_1,-0.006767929289250042
Pb_2,-0.0064634612227306406
Pb_3,-0.004040623627537498
Pb_4,-0.010637604431746307
Pb_5,-0.011685973112884008
Pb_6,-0.011334121602790459
